openmp threads = 1
eigen threads = 1
seed = 5703
exact = 5.457221248129214e-01
n = 0, r = 0.00231831, dH = 6.06692, is_accept = 1
n = 1, r = 0.309587, dH = 1.17252, is_accept = 1
n = 2, r = 0.332563, dH = 1.10093, is_accept = 1
n = 3, r = 0.247499, dH = 1.39635, is_accept = 1
n = 4, r = 0.780561, dH = 0.247742, is_accept = 1
n = 5, r = 0.525137, dH = 0.644095, is_accept = 1
n = 6, r = 0.841894, dH = 0.172101, is_accept = 1
n = 7, r = 0.696086, dH = 0.362283, is_accept = 1
n = 8, r = 0.350469, dH = 1.04848, is_accept = 1
n = 9, r = 1, dH = -0.34764, is_accept = 1
n = 10, r = 1, dH = -0.0015424, is_accept = 1
n = 11, r = 1, dH = -0.108394, is_accept = 1
n = 12, r = 1, dH = -0.210847, is_accept = 1
n = 13, r = 0.853859, dH = 0.157989, is_accept = 1
n = 14, r = 0.637913, dH = 0.449554, is_accept = 1
n = 15, r = 1, dH = -0.0154658, is_accept = 1
n = 16, r = 1, dH = -0.0524127, is_accept = 1
n = 17, r = 1, dH = -0.276597, is_accept = 1
n = 18, r = 1, dH = -0.0317969, is_accept = 1
n = 19, r = 0.880861, dH = 0.126856, is_accept = 1
n = 20, r = 0.819245, dH = 0.199372, is_accept = 0
n = 21, r = 1, dH = -0.159001, is_accept = 1
n = 22, r = 0.998419, dH = 0.00158189, is_accept = 1
n = 23, r = 0.974402, dH = 0.0259313, is_accept = 1
n = 24, r = 0.841971, dH = 0.17201, is_accept = 1
n = 25, r = 1, dH = -0.0594497, is_accept = 1
n = 26, r = 0.656526, dH = 0.420793, is_accept = 0
n = 27, r = 1, dH = -0.136227, is_accept = 1
n = 28, r = 0.0432469, dH = 3.14083, is_accept = 0
n = 29, r = 0.115736, dH = 2.15644, is_accept = 0
n = 30, r = 0.522672, dH = 0.648801, is_accept = 0
n = 31, r = 0.870209, dH = 0.139022, is_accept = 1
n = 32, r = 0.808305, dH = 0.212816, is_accept = 0
n = 33, r = 0.839772, dH = 0.174624, is_accept = 1
n = 34, r = 1, dH = -0.187694, is_accept = 1
n = 35, r = 1, dH = -0.173024, is_accept = 1
n = 36, r = 0.277883, dH = 1.28056, is_accept = 0
n = 37, r = 0.93367, dH = 0.0686323, is_accept = 1
n = 38, r = 0.919471, dH = 0.0839565, is_accept = 1
n = 39, r = 0.908165, dH = 0.0963287, is_accept = 1
n = 40, r = 1, dH = -0.717325, is_accept = 1
n = 41, r = 1, dH = -0.462429, is_accept = 1
n = 42, r = 0.832688, dH = 0.183096, is_accept = 1
n = 43, r = 1, dH = -0.0801628, is_accept = 1
n = 44, r = 1, dH = -0.338328, is_accept = 1
n = 45, r = 1, dH = -0.320989, is_accept = 1
n = 46, r = 0.71436, dH = 0.336369, is_accept = 1
n = 47, r = 1, dH = -0.292039, is_accept = 1
n = 48, r = 1, dH = -0.049297, is_accept = 1
n = 49, r = 1, dH = -0.0338209, is_accept = 1
n = 50, r = 0.388419, dH = 0.945672, is_accept = 0
n = 51, r = 1, dH = -0.0564094, is_accept = 1
n = 52, r = 1, dH = -0.132721, is_accept = 1
n = 53, r = 0.000165939, dH = 8.70389, is_accept = 0
n = 54, r = 0.765464, dH = 0.267274, is_accept = 0
n = 55, r = 1, dH = -0.0603513, is_accept = 1
n = 56, r = 0.217122, dH = 1.5273, is_accept = 1
n = 57, r = 1, dH = -0.0240458, is_accept = 1
n = 58, r = 0.00113224, dH = 6.78356, is_accept = 0
n = 59, r = 1, dH = -0.181014, is_accept = 1
n = 60, r = 0.871664, dH = 0.137352, is_accept = 1
n = 61, r = 1, dH = -0.502782, is_accept = 1
n = 62, r = 0.146637, dH = 1.91979, is_accept = 0
n = 63, r = 0.948628, dH = 0.0527384, is_accept = 1
n = 64, r = 0.0603475, dH = 2.80764, is_accept = 0
n = 65, r = 1, dH = -0.0884996, is_accept = 1
n = 66, r = 1, dH = -0.118919, is_accept = 1
n = 67, r = 0.855077, dH = 0.156564, is_accept = 1
n = 68, r = 0.939044, dH = 0.0628929, is_accept = 1
n = 69, r = 0.982406, dH = 0.0177504, is_accept = 1
n = 70, r = 0.806335, dH = 0.215256, is_accept = 1
n = 71, r = 1, dH = -0.0434749, is_accept = 1
n = 72, r = 1, dH = -0.280826, is_accept = 1
n = 73, r = 1, dH = -0.473294, is_accept = 1
n = 74, r = 1, dH = -0.0702092, is_accept = 1
n = 75, r = 0.00245139, dH = 6.0111, is_accept = 0
n = 76, r = 1, dH = -0.0360078, is_accept = 1
n = 77, r = 1, dH = -0.935621, is_accept = 1
n = 78, r = 0.000180106, dH = 8.62197, is_accept = 0
n = 79, r = 1, dH = -0.143769, is_accept = 1
n = 80, r = 0.785853, dH = 0.240986, is_accept = 1
n = 81, r = 0.54075, dH = 0.614798, is_accept = 0
n = 82, r = 0.927498, dH = 0.0752643, is_accept = 1
n = 83, r = 0.034118, dH = 3.37793, is_accept = 0
n = 84, r = 0.637006, dH = 0.450977, is_accept = 1
n = 85, r = 0.783258, dH = 0.244293, is_accept = 1
n = 86, r = 0.979632, dH = 0.0205784, is_accept = 1
n = 87, r = 1, dH = -0.0374772, is_accept = 1
n = 88, r = 0.754932, dH = 0.281128, is_accept = 1
n = 89, r = 1, dH = -3.41518, is_accept = 1
n = 90, r = 0.915305, dH = 0.0884979, is_accept = 1
n = 91, r = 0.819123, dH = 0.199521, is_accept = 1
n = 92, r = 0.883952, dH = 0.123352, is_accept = 0
n = 93, r = 1, dH = -0.199122, is_accept = 1
n = 94, r = 0.777464, dH = 0.251718, is_accept = 1
n = 95, r = 0.886495, dH = 0.12048, is_accept = 0
n = 96, r = 0.287238, dH = 1.24744, is_accept = 0
n = 97, r = 1, dH = -0.156388, is_accept = 1
n = 98, r = 1, dH = -0.0389292, is_accept = 1
n = 99, r = 0.763571, dH = 0.269749, is_accept = 1
n = 100, r = 1, dH = -0.42862, is_accept = 1
n = 101, r = 1, dH = -0.117371, is_accept = 1
n = 102, r = 1, dH = -0.0781687, is_accept = 1
n = 103, r = 1, dH = -0.00607227, is_accept = 1
n = 104, r = 0.924888, dH = 0.0780824, is_accept = 1
n = 105, r = 1, dH = -0.162465, is_accept = 1
n = 106, r = 1, dH = -0.0125679, is_accept = 1
n = 107, r = 1, dH = -0.0783418, is_accept = 1
n = 108, r = 0.94294, dH = 0.0587529, is_accept = 1
n = 109, r = 0.518019, dH = 0.657743, is_accept = 0
n = 110, r = 1, dH = -0.112102, is_accept = 1
n = 111, r = 0.765773, dH = 0.26687, is_accept = 1
n = 112, r = 1, dH = -0.320039, is_accept = 1
n = 113, r = 0.557608, dH = 0.584099, is_accept = 0
n = 114, r = 1, dH = -0.00399837, is_accept = 1
n = 115, r = 0.889518, dH = 0.117076, is_accept = 1
n = 116, r = 1.54601e-05, dH = 11.0772, is_accept = 0
n = 117, r = 0.381175, dH = 0.964496, is_accept = 1
n = 118, r = 0.711595, dH = 0.340246, is_accept = 1
n = 119, r = 1, dH = -0.163611, is_accept = 1
n = 120, r = 0.743689, dH = 0.296132, is_accept = 1
n = 121, r = 0.764557, dH = 0.268458, is_accept = 1
n = 122, r = 1, dH = -0.100002, is_accept = 1
n = 123, r = 0.871256, dH = 0.13782, is_accept = 1
n = 124, r = 1, dH = -0.0788219, is_accept = 1
n = 125, r = 0.71788, dH = 0.331453, is_accept = 0
n = 126, r = 0.820192, dH = 0.198216, is_accept = 1
n = 127, r = 1, dH = -0.0266696, is_accept = 1
n = 128, r = 0.966773, dH = 0.033792, is_accept = 1
n = 129, r = 1, dH = -0.249804, is_accept = 1
n = 130, r = 2.94129e-17, dH = 38.0651, is_accept = 0
n = 131, r = 0.479278, dH = 0.735474, is_accept = 1
n = 132, r = 0.572765, dH = 0.557281, is_accept = 1
n = 133, r = 0.0375978, dH = 3.28081, is_accept = 0
n = 134, r = 0.998334, dH = 0.00166741, is_accept = 1
n = 135, r = 0.877877, dH = 0.130249, is_accept = 0
n = 136, r = 0.0218633, dH = 3.82295, is_accept = 0
n = 137, r = 1, dH = -0.00580764, is_accept = 1
n = 138, r = 0.869755, dH = 0.139543, is_accept = 1
n = 139, r = 1, dH = -0.195044, is_accept = 1
n = 140, r = 3.24529e-63, dH = 143.886, is_accept = 0
n = 141, r = 1, dH = -0.0242482, is_accept = 1
n = 142, r = 1, dH = -0.0846851, is_accept = 1
n = 143, r = 1, dH = -0.0662106, is_accept = 1
n = 144, r = 1, dH = -0.138297, is_accept = 1
n = 145, r = 0.53356, dH = 0.628183, is_accept = 1
n = 146, r = 1, dH = -0.0746993, is_accept = 1
n = 147, r = 0.862395, dH = 0.148042, is_accept = 1
n = 148, r = 1, dH = -0.0820434, is_accept = 1
n = 149, r = 1, dH = -0.10302, is_accept = 1
n = 150, r = 0.311352, dH = 1.16683, is_accept = 1
n = 151, r = 0.865233, dH = 0.144756, is_accept = 1
n = 152, r = 0.92628, dH = 0.0765792, is_accept = 1
n = 153, r = 1.23127e-24, dH = 55.054, is_accept = 0
n = 154, r = 1, dH = -0.455332, is_accept = 1
n = 155, r = 0.838522, dH = 0.176115, is_accept = 1
n = 156, r = 0.934772, dH = 0.0674528, is_accept = 1
n = 157, r = 0.855989, dH = 0.155497, is_accept = 1
n = 158, r = 0.636941, dH = 0.451079, is_accept = 1
n = 159, r = 0.820211, dH = 0.198194, is_accept = 1
n = 160, r = 0.762784, dH = 0.270781, is_accept = 1
n = 161, r = 1, dH = -0.414626, is_accept = 1
n = 162, r = 0.786937, dH = 0.239607, is_accept = 0
n = 163, r = 0.972536, dH = 0.0278486, is_accept = 1
n = 164, r = 0.966213, dH = 0.0343714, is_accept = 1
n = 165, r = 0.786492, dH = 0.240173, is_accept = 1
n = 166, r = 0.959063, dH = 0.0417981, is_accept = 1
n = 167, r = 1, dH = -0.132171, is_accept = 1
n = 168, r = 0.920137, dH = 0.0832324, is_accept = 1
n = 169, r = 0.872596, dH = 0.136283, is_accept = 1
n = 170, r = 1, dH = -0.00981142, is_accept = 1
n = 171, r = 1, dH = -0.104302, is_accept = 1
n = 172, r = 1, dH = -0.0186824, is_accept = 1
n = 173, r = 0.916139, dH = 0.0875872, is_accept = 1
n = 174, r = 0.936546, dH = 0.0655563, is_accept = 1
n = 175, r = 0.570664, dH = 0.560955, is_accept = 1
n = 176, r = 1, dH = -0.0440587, is_accept = 1
n = 177, r = 0.886322, dH = 0.120675, is_accept = 1
n = 178, r = 0.657693, dH = 0.419017, is_accept = 0
n = 179, r = 1, dH = -0.0965228, is_accept = 1
n = 180, r = 0.760126, dH = 0.274271, is_accept = 0
n = 181, r = 0.938084, dH = 0.0639158, is_accept = 1
n = 182, r = 0.992302, dH = 0.00772812, is_accept = 1
n = 183, r = 0.796483, dH = 0.227549, is_accept = 1
n = 184, r = 1, dH = -0.489382, is_accept = 1
n = 185, r = 1, dH = -0.498227, is_accept = 1
n = 186, r = 6.58759e-08, dH = 16.5355, is_accept = 0
n = 187, r = 0.659243, dH = 0.416664, is_accept = 0
n = 188, r = 0.591856, dH = 0.524491, is_accept = 0
n = 189, r = 0.696564, dH = 0.361596, is_accept = 1
n = 190, r = 0.771094, dH = 0.259945, is_accept = 1
n = 191, r = 3.20343e-21, dH = 47.1901, is_accept = 0
n = 192, r = 1, dH = -0.0284885, is_accept = 1
n = 193, r = 1, dH = -0.274299, is_accept = 1
n = 194, r = 1, dH = -0.514014, is_accept = 1
n = 195, r = 0.615863, dH = 0.484731, is_accept = 0
n = 196, r = 0.886046, dH = 0.120986, is_accept = 1
n = 197, r = 0.311945, dH = 1.16493, is_accept = 1
n = 198, r = 1, dH = -0.507773, is_accept = 1
n = 199, r = 1, dH = -0.180505, is_accept = 1
n = 200, r = 0.800602, dH = 0.222391, is_accept = 1
n = 201, r = 0.7528, dH = 0.283956, is_accept = 1
n = 202, r = 1, dH = -0.0444305, is_accept = 1
n = 203, r = 1, dH = -0.0842635, is_accept = 1
n = 204, r = 0.745237, dH = 0.294053, is_accept = 0
n = 205, r = 0.974259, dH = 0.0260783, is_accept = 1
n = 206, r = 0.831807, dH = 0.184154, is_accept = 1
n = 207, r = 1, dH = -0.0165528, is_accept = 1
n = 208, r = 0.809907, dH = 0.210836, is_accept = 1
n = 209, r = 1, dH = -0.228617, is_accept = 1
n = 210, r = 0.869085, dH = 0.140314, is_accept = 1
n = 211, r = 0.985835, dH = 0.0142666, is_accept = 1
n = 212, r = 0.860853, dH = 0.149832, is_accept = 1
n = 213, r = 0.750179, dH = 0.287443, is_accept = 1
n = 214, r = 0.936183, dH = 0.0659439, is_accept = 1
n = 215, r = 0.667111, dH = 0.404799, is_accept = 1
n = 216, r = 0.584196, dH = 0.537519, is_accept = 0
n = 217, r = 1.44093e-11, dH = 24.9631, is_accept = 0
n = 218, r = 0.0130014, dH = 4.3427, is_accept = 0
n = 219, r = 0.785772, dH = 0.241088, is_accept = 1
n = 220, r = 0.218247, dH = 1.52213, is_accept = 0
n = 221, r = 1, dH = -0.13676, is_accept = 1
n = 222, r = 0.0108904, dH = 4.51987, is_accept = 0
n = 223, r = 1, dH = -0.071715, is_accept = 1
n = 224, r = 0.921897, dH = 0.0813221, is_accept = 1
n = 225, r = 1, dH = -0.205807, is_accept = 1
n = 226, r = 1, dH = -0.809633, is_accept = 1
n = 227, r = 0.476817, dH = 0.740623, is_accept = 0
n = 228, r = 0.941963, dH = 0.0597891, is_accept = 1
n = 229, r = 0.625601, dH = 0.469043, is_accept = 0
n = 230, r = 0.735176, dH = 0.307646, is_accept = 0
n = 231, r = 0.761701, dH = 0.272201, is_accept = 1
n = 232, r = 1, dH = -0.504457, is_accept = 1
n = 233, r = 1, dH = -0.0126372, is_accept = 1
n = 234, r = 0.927652, dH = 0.0750982, is_accept = 1
n = 235, r = 0.689365, dH = 0.371985, is_accept = 0
n = 236, r = 1, dH = -0.124187, is_accept = 1
n = 237, r = 0.851872, dH = 0.160319, is_accept = 1
n = 238, r = 1, dH = -0.222653, is_accept = 1
n = 239, r = 0.678271, dH = 0.388209, is_accept = 0
n = 240, r = 5.20857e-15, dH = 32.8885, is_accept = 0
n = 241, r = 0.831281, dH = 0.184787, is_accept = 1
n = 242, r = 1, dH = -0.166432, is_accept = 1
n = 243, r = 0.736532, dH = 0.305803, is_accept = 0
