openmp threads = 1
eigen threads = 1
seed = 8989
exact = 5.879092030739460e-01
n = 0, r = 1, dH = -0.668421, is_accept = 1
n = 1, r = 0.417078, dH = 0.874483, is_accept = 1
n = 2, r = 0.50216, dH = 0.688837, is_accept = 1
n = 3, r = 0.338129, dH = 1.08433, is_accept = 1
n = 4, r = 0.6884, dH = 0.373386, is_accept = 1
n = 5, r = 0.553632, dH = 0.591256, is_accept = 1
n = 6, r = 0.672043, dH = 0.397432, is_accept = 1
n = 7, r = 0.334297, dH = 1.09572, is_accept = 1
n = 8, r = 0.755669, dH = 0.280152, is_accept = 1
n = 9, r = 0.716097, dH = 0.333939, is_accept = 1
n = 10, r = 0.791909, dH = 0.233309, is_accept = 1
n = 11, r = 0.00106547, dH = 6.84434, is_accept = 1
n = 12, r = 1, dH = -0.281617, is_accept = 1
n = 13, r = 0.836504, dH = 0.178524, is_accept = 1
n = 14, r = 0.241819, dH = 1.41957, is_accept = 1
n = 15, r = 0.62582, dH = 0.468692, is_accept = 1
n = 16, r = 1, dH = -0.582822, is_accept = 1
n = 17, r = 1, dH = -0.010416, is_accept = 1
n = 18, r = 1, dH = -0.0450756, is_accept = 1
n = 19, r = 0.612069, dH = 0.490911, is_accept = 1
n = 20, r = 0.860278, dH = 0.150499, is_accept = 1
n = 21, r = 0.477484, dH = 0.739224, is_accept = 1
n = 22, r = 0.906832, dH = 0.0977979, is_accept = 1
n = 23, r = 0.862091, dH = 0.148395, is_accept = 1
n = 24, r = 1, dH = -0.00730448, is_accept = 1
n = 25, r = 0.974197, dH = 0.026142, is_accept = 1
n = 26, r = 0.77101, dH = 0.260053, is_accept = 1
n = 27, r = 1, dH = -0.173455, is_accept = 1
n = 28, r = 0.11447, dH = 2.16745, is_accept = 0
n = 29, r = 1, dH = -0.0817996, is_accept = 1
n = 30, r = 0.18674, dH = 1.67804, is_accept = 1
n = 31, r = 0.985116, dH = 0.0149958, is_accept = 1
n = 32, r = 0.830907, dH = 0.185237, is_accept = 1
n = 33, r = 0.875299, dH = 0.13319, is_accept = 1
n = 34, r = 0.941345, dH = 0.0604457, is_accept = 1
n = 35, r = 0.790507, dH = 0.235081, is_accept = 1
n = 36, r = 1, dH = -0.382445, is_accept = 1
n = 37, r = 1, dH = -0.29742, is_accept = 1
n = 38, r = 0.00927242, dH = 4.68071, is_accept = 0
n = 39, r = 1, dH = -0.0950058, is_accept = 1
n = 40, r = 1, dH = -0.247037, is_accept = 1
n = 41, r = 0.831701, dH = 0.184283, is_accept = 0
n = 42, r = 0.831648, dH = 0.184346, is_accept = 1
n = 43, r = 0.891318, dH = 0.115054, is_accept = 1
n = 44, r = 0.630894, dH = 0.460618, is_accept = 1
n = 45, r = 0.885219, dH = 0.12192, is_accept = 1
n = 46, r = 0.00142496, dH = 6.55361, is_accept = 0
n = 47, r = 1, dH = -0.328861, is_accept = 1
n = 48, r = 0.884245, dH = 0.123021, is_accept = 1
n = 49, r = 0.914997, dH = 0.088835, is_accept = 1
n = 50, r = 0.259719, dH = 1.34815, is_accept = 0
n = 51, r = 1, dH = -0.465024, is_accept = 1
n = 52, r = 0.830069, dH = 0.186247, is_accept = 1
n = 53, r = 1, dH = -0.0811853, is_accept = 1
n = 54, r = 1, dH = -0.181532, is_accept = 1
n = 55, r = 1, dH = -0.101129, is_accept = 1
n = 56, r = 1, dH = -0.309346, is_accept = 1
n = 57, r = 0.84992, dH = 0.162613, is_accept = 1
n = 58, r = 0.966553, dH = 0.0340189, is_accept = 1
n = 59, r = 1, dH = -0.049611, is_accept = 1
n = 60, r = 0.983351, dH = 0.0167891, is_accept = 1
n = 61, r = 0.920056, dH = 0.0833208, is_accept = 0
n = 62, r = 0.29469, dH = 1.22183, is_accept = 0
n = 63, r = 0.89173, dH = 0.114591, is_accept = 1
n = 64, r = 0.142979, dH = 1.94506, is_accept = 0
n = 65, r = 1, dH = -0.0800392, is_accept = 1
n = 66, r = 1, dH = -0.666734, is_accept = 1
n = 67, r = 0.754937, dH = 0.281121, is_accept = 0
n = 68, r = 0.366882, dH = 1.00271, is_accept = 1
n = 69, r = 0.971936, dH = 0.0284653, is_accept = 1
n = 70, r = 0.000514725, dH = 7.57188, is_accept = 0
n = 71, r = 0.524406, dH = 0.645488, is_accept = 0
n = 72, r = 1, dH = -0.00150472, is_accept = 1
n = 73, r = 1, dH = -0.231013, is_accept = 1
n = 74, r = 0.00305395, dH = 5.79132, is_accept = 0
n = 75, r = 0.308899, dH = 1.17474, is_accept = 0
n = 76, r = 1, dH = -0.113881, is_accept = 1
n = 77, r = 1, dH = -0.781019, is_accept = 1
n = 78, r = 0.577352, dH = 0.549303, is_accept = 1
n = 79, r = 1, dH = -0.259698, is_accept = 1
n = 80, r = 1, dH = -0.00728103, is_accept = 1
n = 81, r = 0.6212, dH = 0.476103, is_accept = 0
n = 82, r = 1, dH = -0.0556491, is_accept = 1
n = 83, r = 1, dH = -0.358838, is_accept = 1
n = 84, r = 1, dH = -0.164827, is_accept = 1
n = 85, r = 0.852466, dH = 0.159622, is_accept = 1
n = 86, r = 0.95188, dH = 0.0493164, is_accept = 0
n = 87, r = 0.959604, dH = 0.0412344, is_accept = 1
