openmp threads = 1
eigen threads = 1
seed = 2574
exact = 6.882880141375221e-01
n = 0, r = 1.47551e-80, dH = 183.818, is_accept = 1
n = 1, r = 0.422882, dH = 0.860663, is_accept = 1
n = 2, r = 0.349156, dH = 1.05224, is_accept = 1
n = 3, r = 0.190683, dH = 1.65714, is_accept = 1
n = 4, r = 0.190407, dH = 1.65859, is_accept = 1
n = 5, r = 0.596646, dH = 0.516431, is_accept = 1
n = 6, r = 1, dH = -0.118346, is_accept = 1
n = 7, r = 0.834502, dH = 0.18092, is_accept = 1
n = 8, r = 1, dH = -0.0717151, is_accept = 1
n = 9, r = 1, dH = -0.359024, is_accept = 1
n = 10, r = 1, dH = -0.119258, is_accept = 1
n = 11, r = 0.814541, dH = 0.205131, is_accept = 1
n = 12, r = 0.67359, dH = 0.395133, is_accept = 1
n = 13, r = 0.940229, dH = 0.0616322, is_accept = 1
n = 14, r = 0.575276, dH = 0.552905, is_accept = 1
n = 15, r = 1, dH = -0.226238, is_accept = 1
n = 16, r = 1, dH = -0.0382629, is_accept = 1
n = 17, r = 1, dH = -0.333211, is_accept = 1
n = 18, r = 0.745033, dH = 0.294326, is_accept = 1
n = 19, r = 0.0538439, dH = 2.92167, is_accept = 1
n = 20, r = 0.727173, dH = 0.318591, is_accept = 1
n = 21, r = 0.83788, dH = 0.17688, is_accept = 1
n = 22, r = 1, dH = -0.112173, is_accept = 1
n = 23, r = 1, dH = -0.2388, is_accept = 1
n = 24, r = 1, dH = -0.0940826, is_accept = 1
n = 25, r = 0.782582, dH = 0.245157, is_accept = 1
n = 26, r = 0.881133, dH = 0.126546, is_accept = 1
n = 27, r = 0.929718, dH = 0.0728739, is_accept = 1
n = 28, r = 0.889771, dH = 0.116791, is_accept = 1
n = 29, r = 1, dH = -0.185178, is_accept = 1
n = 30, r = 0.759367, dH = 0.27527, is_accept = 1
n = 31, r = 0.811851, dH = 0.208438, is_accept = 1
n = 32, r = 0.650754, dH = 0.429623, is_accept = 0
n = 33, r = 1, dH = -0.200927, is_accept = 1
n = 34, r = 0.958365, dH = 0.0425269, is_accept = 1
n = 35, r = 1, dH = -0.266554, is_accept = 1
n = 36, r = 1, dH = -0.387589, is_accept = 1
n = 37, r = 0.552193, dH = 0.593858, is_accept = 0
n = 38, r = 1, dH = -0.23369, is_accept = 1
n = 39, r = 0.832402, dH = 0.183439, is_accept = 0
n = 40, r = 1, dH = -0.0150283, is_accept = 1
n = 41, r = 0.590727, dH = 0.526401, is_accept = 1
n = 42, r = 1, dH = -0.182177, is_accept = 1
n = 43, r = 4.49482e-99, dH = 226.453, is_accept = 0
n = 44, r = 1, dH = -0.151527, is_accept = 1
n = 45, r = 1, dH = -0.0691947, is_accept = 1
n = 46, r = 1, dH = -0.250938, is_accept = 1
n = 47, r = 1, dH = -0.30875, is_accept = 1
n = 48, r = 0.810957, dH = 0.209541, is_accept = 0
n = 49, r = 1, dH = -0.016813, is_accept = 1
n = 50, r = 1, dH = -0.773779, is_accept = 1
n = 51, r = 0.000434349, dH = 7.74166, is_accept = 0
n = 52, r = 0.895237, dH = 0.110666, is_accept = 1
n = 53, r = 0.686043, dH = 0.376814, is_accept = 1
n = 54, r = 1, dH = -0.187579, is_accept = 1
n = 55, r = 0.84213, dH = 0.171821, is_accept = 0
n = 56, r = 0.00777431, dH = 4.85693, is_accept = 0
n = 57, r = 1, dH = -0.129775, is_accept = 1
n = 58, r = 1, dH = -0.256126, is_accept = 1
n = 59, r = 0.823521, dH = 0.194166, is_accept = 0
n = 60, r = 0.362237, dH = 1.01546, is_accept = 0
n = 61, r = 6.04242e-05, dH = 9.71412, is_accept = 0
n = 62, r = 1, dH = -0.027539, is_accept = 1
n = 63, r = 0.464455, dH = 0.76689, is_accept = 1
n = 64, r = 1, dH = -0.5807, is_accept = 1
n = 65, r = 1, dH = -0.243338, is_accept = 1
n = 66, r = 1, dH = -1.04258, is_accept = 1
n = 67, r = 1, dH = -0.157458, is_accept = 1
n = 68, r = 0.848549, dH = 0.164228, is_accept = 1
n = 69, r = 0.707026, dH = 0.346687, is_accept = 1
n = 70, r = 1, dH = -0.876284, is_accept = 1
n = 71, r = 0.00364396, dH = 5.61468, is_accept = 0
n = 72, r = 1, dH = -0.107486, is_accept = 1
n = 73, r = 0.90328, dH = 0.101723, is_accept = 1
n = 74, r = 0.789155, dH = 0.236792, is_accept = 0
n = 75, r = 0.803986, dH = 0.218173, is_accept = 1
n = 76, r = 0.00051378, dH = 7.57371, is_accept = 0
n = 77, r = 0.957104, dH = 0.0438437, is_accept = 1
n = 78, r = 0.479966, dH = 0.734041, is_accept = 0
n = 79, r = 0.00138557, dH = 6.58164, is_accept = 0
n = 80, r = 0.960918, dH = 0.0398661, is_accept = 1
n = 81, r = 0.986675, dH = 0.0134151, is_accept = 1
n = 82, r = 1, dH = -0.00706613, is_accept = 1
n = 83, r = 1, dH = -0.05865, is_accept = 1
n = 84, r = 1, dH = -0.265564, is_accept = 1
