openmp threads = 1
eigen threads = 1
seed = 1352
exact = 9.585581566092005e-01
n = 0, r = 0, dH = 1537.99, is_accept = 1
n = 1, r = 0.539739, dH = 0.61667, is_accept = 1
n = 2, r = 1.54282e-10, dH = 22.5922, is_accept = 1
n = 3, r = 0.428534, dH = 0.847384, is_accept = 1
n = 4, r = 0.476017, dH = 0.742302, is_accept = 1
n = 5, r = 0.65787, dH = 0.418748, is_accept = 1
n = 6, r = 1.02639e-09, dH = 20.6972, is_accept = 1
n = 7, r = 0.539438, dH = 0.617227, is_accept = 1
n = 8, r = 1, dH = -0.103592, is_accept = 1
n = 9, r = 1, dH = -2.01827, is_accept = 1
n = 10, r = 0.0114822, dH = 4.46696, is_accept = 1
n = 11, r = 1, dH = -0.262232, is_accept = 1
n = 12, r = 0.613411, dH = 0.488721, is_accept = 1
n = 13, r = 1, dH = -0.343374, is_accept = 1
n = 14, r = 0.992548, dH = 0.00747971, is_accept = 1
n = 15, r = 0.585624, dH = 0.535077, is_accept = 1
n = 16, r = 1, dH = -0.0808986, is_accept = 1
n = 17, r = 1, dH = -0.198726, is_accept = 1
n = 18, r = 0.700965, dH = 0.355297, is_accept = 1
n = 19, r = 1, dH = -0.0259236, is_accept = 1
n = 20, r = 0.83199, dH = 0.183934, is_accept = 1
n = 21, r = 0.613806, dH = 0.488076, is_accept = 0
n = 22, r = 1, dH = -0.528394, is_accept = 1
n = 23, r = 0.622085, dH = 0.474678, is_accept = 1
n = 24, r = 1, dH = -0.00445925, is_accept = 1
n = 25, r = 0.0859827, dH = 2.45361, is_accept = 0
n = 26, r = 1, dH = -0.106044, is_accept = 1
n = 27, r = 1, dH = -0.166733, is_accept = 1
n = 28, r = 0.734242, dH = 0.308917, is_accept = 0
n = 29, r = 1, dH = -0.0720339, is_accept = 1
n = 30, r = 1, dH = -0.103117, is_accept = 1
n = 31, r = 0.746907, dH = 0.291814, is_accept = 0
n = 32, r = 0.909012, dH = 0.0953971, is_accept = 1
n = 33, r = 1, dH = -1.52267, is_accept = 1
n = 34, r = 0.993829, dH = 0.0061899, is_accept = 1
n = 35, r = 0.799098, dH = 0.224272, is_accept = 1
n = 36, r = 0.570823, dH = 0.560676, is_accept = 1
n = 37, r = 0.606496, dH = 0.500057, is_accept = 0
n = 38, r = 1, dH = -0.480639, is_accept = 1
n = 39, r = 1, dH = -0.070164, is_accept = 1
n = 40, r = 0.882014, dH = 0.125548, is_accept = 1
n = 41, r = 0.928012, dH = 0.0747108, is_accept = 0
n = 42, r = 0.930548, dH = 0.0719814, is_accept = 1
n = 43, r = 0.825815, dH = 0.191384, is_accept = 1
n = 44, r = 0.319298, dH = 1.14163, is_accept = 0
n = 45, r = 0.00442682, dH = 5.42007, is_accept = 0
n = 46, r = 0.297775, dH = 1.21142, is_accept = 0
n = 47, r = 1, dH = -1.17303, is_accept = 1
n = 48, r = 1, dH = -0.00571511, is_accept = 1
n = 49, r = 0.853465, dH = 0.158451, is_accept = 1
n = 50, r = 1, dH = -0.158439, is_accept = 1
n = 51, r = 0.994675, dH = 0.00533966, is_accept = 1
n = 52, r = 1, dH = -0.276758, is_accept = 1
n = 53, r = 1, dH = -0.189345, is_accept = 1
n = 54, r = 0.630844, dH = 0.460697, is_accept = 1
n = 55, r = 1, dH = -0.426756, is_accept = 1
n = 56, r = 0.763792, dH = 0.26946, is_accept = 1
n = 57, r = 0.830754, dH = 0.185422, is_accept = 1
n = 58, r = 0.643355, dH = 0.441058, is_accept = 1
n = 59, r = 0.833963, dH = 0.181567, is_accept = 1
n = 60, r = 0.941044, dH = 0.0607658, is_accept = 1
n = 61, r = 1, dH = -0.055194, is_accept = 1
n = 62, r = 0.57439, dH = 0.554447, is_accept = 0
n = 63, r = 1, dH = -0.422195, is_accept = 1
n = 64, r = 1, dH = -0.0591481, is_accept = 1
n = 65, r = 0.850582, dH = 0.161835, is_accept = 0
n = 66, r = 1, dH = -0.284831, is_accept = 1
n = 67, r = 0.96612, dH = 0.0344674, is_accept = 1
n = 68, r = 1, dH = -0.227124, is_accept = 1
n = 69, r = 0.998566, dH = 0.00143486, is_accept = 1
n = 70, r = 0.748799, dH = 0.289284, is_accept = 1
n = 71, r = 0.902494, dH = 0.102593, is_accept = 1
n = 72, r = 0.817351, dH = 0.201686, is_accept = 0
n = 73, r = 0.690596, dH = 0.3702, is_accept = 0
n = 74, r = 1, dH = -0.0301741, is_accept = 1
n = 75, r = 0.31082, dH = 1.16854, is_accept = 0
n = 76, r = 1, dH = -0.412454, is_accept = 1
n = 77, r = 0.0706401, dH = 2.65016, is_accept = 0
n = 78, r = 0.31826, dH = 1.14489, is_accept = 0
n = 79, r = 0.980764, dH = 0.0194235, is_accept = 1
n = 80, r = 1, dH = -0.15394, is_accept = 1
n = 81, r = 0.645175, dH = 0.438234, is_accept = 1
n = 82, r = 1, dH = -0.342427, is_accept = 1
n = 83, r = 0.517681, dH = 0.658396, is_accept = 0
n = 84, r = 0.942492, dH = 0.0592283, is_accept = 0
n = 85, r = 0.00427328, dH = 5.45537, is_accept = 0
n = 86, r = 0.882774, dH = 0.124686, is_accept = 1
n = 87, r = 1, dH = -0.366206, is_accept = 1
n = 88, r = 0.97891, dH = 0.0213152, is_accept = 1
n = 89, r = 1, dH = -0.189854, is_accept = 1
n = 90, r = 0.0940463, dH = 2.36397, is_accept = 0
n = 91, r = 0.721426, dH = 0.326526, is_accept = 0
n = 92, r = 1, dH = -0.535725, is_accept = 1
n = 93, r = 0.759983, dH = 0.274459, is_accept = 0
n = 94, r = 1, dH = -0.0321787, is_accept = 1
n = 95, r = 0.990912, dH = 0.00912978, is_accept = 1
n = 96, r = 0.788198, dH = 0.238006, is_accept = 0
n = 97, r = 0.786956, dH = 0.239583, is_accept = 0
n = 98, r = 1, dH = -0.302479, is_accept = 1
n = 99, r = 0.125686, dH = 2.07397, is_accept = 0
n = 100, r = 0.814112, dH = 0.205657, is_accept = 1
n = 101, r = 1, dH = -1.63577, is_accept = 1
n = 102, r = 1, dH = -0.129002, is_accept = 1
n = 103, r = 1, dH = -0.233284, is_accept = 1
n = 104, r = 0.939029, dH = 0.0629091, is_accept = 1
n = 105, r = 0.595898, dH = 0.517686, is_accept = 0
n = 106, r = 0.740773, dH = 0.300061, is_accept = 1
n = 107, r = 1, dH = -0.405555, is_accept = 1
n = 108, r = 0.847517, dH = 0.165444, is_accept = 0
n = 109, r = 0.699043, dH = 0.358043, is_accept = 0
n = 110, r = 0.857246, dH = 0.154031, is_accept = 1
n = 111, r = 0.991314, dH = 0.00872392, is_accept = 1
n = 112, r = 1, dH = -0.0570499, is_accept = 1
n = 113, r = 0.896283, dH = 0.109499, is_accept = 1
n = 114, r = 1, dH = -0.0626153, is_accept = 1
n = 115, r = 0.000337539, dH = 7.99383, is_accept = 0
n = 116, r = 0.799247, dH = 0.224086, is_accept = 1
n = 117, r = 0.176565, dH = 1.73407, is_accept = 1
n = 118, r = 1, dH = -0.816042, is_accept = 1
n = 119, r = 1, dH = -0.158368, is_accept = 1
n = 120, r = 0.738114, dH = 0.303657, is_accept = 1
n = 121, r = 0.969609, dH = 0.0308627, is_accept = 1
n = 122, r = 0.844365, dH = 0.169171, is_accept = 0
n = 123, r = 0.977539, dH = 0.0227172, is_accept = 1
n = 124, r = 1, dH = -0.0734721, is_accept = 1
n = 125, r = 0.559776, dH = 0.580219, is_accept = 0
n = 126, r = 1, dH = -0.259376, is_accept = 1
n = 127, r = 0.765982, dH = 0.266597, is_accept = 1
n = 128, r = 0.877756, dH = 0.130386, is_accept = 1
n = 129, r = 0.249255, dH = 1.38928, is_accept = 0
n = 130, r = 0.930306, dH = 0.0722413, is_accept = 1
n = 131, r = 0.680397, dH = 0.385079, is_accept = 1
n = 132, r = 0.671811, dH = 0.397778, is_accept = 0
n = 133, r = 0.470098, dH = 0.754814, is_accept = 0
n = 134, r = 1, dH = -0.426181, is_accept = 1
n = 135, r = 1, dH = -0.0360787, is_accept = 1
n = 136, r = 1, dH = -0.218688, is_accept = 1
n = 137, r = 0.34592, dH = 1.06155, is_accept = 0
n = 138, r = 0.996838, dH = 0.00316698, is_accept = 1
n = 139, r = 1, dH = -0.0101135, is_accept = 1
n = 140, r = 0.00166804, dH = 6.39611, is_accept = 0
n = 141, r = 1, dH = -0.0537239, is_accept = 1
n = 142, r = 0.988921, dH = 0.0111413, is_accept = 1
n = 143, r = 1, dH = -0.606349, is_accept = 1
n = 144, r = 1, dH = -0.0927112, is_accept = 1
n = 145, r = 1, dH = -0.38946, is_accept = 1
n = 146, r = 0.906824, dH = 0.0978074, is_accept = 1
n = 147, r = 0.916932, dH = 0.0867216, is_accept = 1
n = 148, r = 1, dH = -0.223194, is_accept = 1
n = 149, r = 1, dH = -0.224075, is_accept = 1
n = 150, r = 0.83252, dH = 0.183298, is_accept = 1
n = 151, r = 0.905154, dH = 0.0996506, is_accept = 1
n = 152, r = 0.510047, dH = 0.673253, is_accept = 1
n = 153, r = 1, dH = -0.342061, is_accept = 1
n = 154, r = 1, dH = -0.194856, is_accept = 1
n = 155, r = 1, dH = -0.0320002, is_accept = 1
n = 156, r = 0.771179, dH = 0.259835, is_accept = 1
n = 157, r = 1, dH = -0.177696, is_accept = 1
n = 158, r = 0.674104, dH = 0.394372, is_accept = 1
n = 159, r = 1, dH = -0.0833179, is_accept = 1
n = 160, r = 1, dH = -0.401124, is_accept = 1
n = 161, r = 0.0929299, dH = 2.37591, is_accept = 0
n = 162, r = 1, dH = -0.00228056, is_accept = 1
n = 163, r = 0.859913, dH = 0.150924, is_accept = 1
n = 164, r = 0.705964, dH = 0.348191, is_accept = 0
n = 165, r = 0.982789, dH = 0.0173608, is_accept = 1
n = 166, r = 6.85457e-11, dH = 23.4035, is_accept = 0
n = 167, r = 1, dH = -0.0827853, is_accept = 1
n = 168, r = 1, dH = -0.16518, is_accept = 1
n = 169, r = 1, dH = -0.172653, is_accept = 1
n = 170, r = 1, dH = -0.0833441, is_accept = 1
n = 171, r = 1, dH = -0.118519, is_accept = 1
n = 172, r = 1, dH = -0.0978861, is_accept = 1
n = 173, r = 1, dH = -0.0194755, is_accept = 1
n = 174, r = 1, dH = -0.280216, is_accept = 1
n = 175, r = 1, dH = -0.964783, is_accept = 1
n = 176, r = 0.861402, dH = 0.149194, is_accept = 1
n = 177, r = 1, dH = -0.208359, is_accept = 1
n = 178, r = 0.661177, dH = 0.413733, is_accept = 1
n = 179, r = 0.998405, dH = 0.00159673, is_accept = 1
n = 180, r = 0.7612, dH = 0.272859, is_accept = 1
n = 181, r = 1, dH = -0.282277, is_accept = 1
n = 182, r = 0.837361, dH = 0.177499, is_accept = 1
n = 183, r = 0.0462711, dH = 3.07324, is_accept = 0
n = 184, r = 1, dH = -0.439208, is_accept = 1
n = 185, r = 0.894371, dH = 0.111634, is_accept = 0
n = 186, r = 0.646884, dH = 0.435588, is_accept = 1
n = 187, r = 1, dH = -0.146791, is_accept = 1
n = 188, r = 0.537397, dH = 0.621019, is_accept = 0
n = 189, r = 0.358363, dH = 1.02621, is_accept = 1
n = 190, r = 0.824103, dH = 0.193459, is_accept = 1
n = 191, r = 0.643101, dH = 0.441453, is_accept = 0
n = 192, r = 0.812042, dH = 0.208203, is_accept = 1
n = 193, r = 0.695374, dH = 0.363306, is_accept = 1
n = 194, r = 1, dH = -0.559702, is_accept = 1
n = 195, r = 0.899436, dH = 0.105987, is_accept = 1
n = 196, r = 0.730462, dH = 0.314078, is_accept = 0
n = 197, r = 0.939465, dH = 0.0624445, is_accept = 1
n = 198, r = 1, dH = -0.0975691, is_accept = 1
n = 199, r = 0.0756692, dH = 2.58138, is_accept = 0
n = 200, r = 0.87657, dH = 0.131739, is_accept = 1
n = 201, r = 0.491314, dH = 0.710672, is_accept = 0
n = 202, r = 0.768239, dH = 0.263654, is_accept = 1
