openmp threads = 1
eigen threads = 1
seed = 11239
exact = 1.000843767765202e+00
n = 0, r = 0.442884, dH = 0.814447, is_accept = 1
n = 1, r = 0.559573, dH = 0.580582, is_accept = 1
n = 2, r = 0.376837, dH = 0.975941, is_accept = 1
n = 3, r = 0.434895, dH = 0.832651, is_accept = 1
n = 4, r = 0.45049, dH = 0.79742, is_accept = 1
n = 5, r = 0.634658, dH = 0.454669, is_accept = 1
n = 6, r = 0.707463, dH = 0.34607, is_accept = 1
n = 7, r = 0.809885, dH = 0.210863, is_accept = 1
n = 8, r = 1, dH = -0.775483, is_accept = 1
n = 9, r = 1, dH = -0.311686, is_accept = 1
n = 10, r = 0.778723, dH = 0.2501, is_accept = 1
n = 11, r = 0.769076, dH = 0.262566, is_accept = 1
n = 12, r = 1, dH = -0.118418, is_accept = 1
n = 13, r = 0.55405, dH = 0.590501, is_accept = 1
n = 14, r = 0.153249, dH = 1.87569, is_accept = 1
n = 15, r = 0.80568, dH = 0.216069, is_accept = 1
n = 16, r = 1, dH = -0.184234, is_accept = 1
n = 17, r = 0.931452, dH = 0.0710103, is_accept = 1
n = 18, r = 0.947414, dH = 0.0540188, is_accept = 1
n = 19, r = 0.734255, dH = 0.308899, is_accept = 1
n = 20, r = 0.965291, dH = 0.0353259, is_accept = 1
n = 21, r = 0.998149, dH = 0.00185312, is_accept = 1
n = 22, r = 0.852517, dH = 0.159563, is_accept = 0
n = 23, r = 1, dH = -0.0387432, is_accept = 1
n = 24, r = 0.694448, dH = 0.364637, is_accept = 1
n = 25, r = 0.93708, dH = 0.0649866, is_accept = 1
n = 26, r = 0.95799, dH = 0.0429179, is_accept = 0
n = 27, r = 0.866054, dH = 0.143808, is_accept = 1
n = 28, r = 0.927325, dH = 0.0754513, is_accept = 1
n = 29, r = 1, dH = -0.402649, is_accept = 1
n = 30, r = 0.913437, dH = 0.090541, is_accept = 1
n = 31, r = 1, dH = -0.783772, is_accept = 1
n = 32, r = 0.0406265, dH = 3.20334, is_accept = 0
n = 33, r = 0.942865, dH = 0.0588327, is_accept = 1
n = 34, r = 0.489263, dH = 0.714856, is_accept = 0
n = 35, r = 0.00154548, dH = 6.47242, is_accept = 0
n = 36, r = 0.0859052, dH = 2.45451, is_accept = 0
n = 37, r = 1, dH = -0.0141556, is_accept = 1
n = 38, r = 0.868885, dH = 0.140544, is_accept = 1
n = 39, r = 1, dH = -0.221395, is_accept = 1
n = 40, r = 0.0763864, dH = 2.57195, is_accept = 0
n = 41, r = 0.611217, dH = 0.492302, is_accept = 1
n = 42, r = 0.892163, dH = 0.114106, is_accept = 1
n = 43, r = 1, dH = -0.0950717, is_accept = 1
n = 44, r = 1, dH = -0.308338, is_accept = 1
n = 45, r = 1, dH = -0.0106421, is_accept = 1
n = 46, r = 0.97988, dH = 0.020325, is_accept = 1
n = 47, r = 0.923591, dH = 0.0794863, is_accept = 1
n = 48, r = 1, dH = -0.043712, is_accept = 1
n = 49, r = 0.882185, dH = 0.125354, is_accept = 1
n = 50, r = 1, dH = -0.276913, is_accept = 1
n = 51, r = 0.940541, dH = 0.0612997, is_accept = 1
n = 52, r = 0.429954, dH = 0.844077, is_accept = 0
n = 53, r = 1, dH = -0.0726587, is_accept = 1
n = 54, r = 1, dH = -0.0746265, is_accept = 1
n = 55, r = 0.0206224, dH = 3.88138, is_accept = 0
n = 56, r = 0.773416, dH = 0.256938, is_accept = 1
n = 57, r = 1, dH = -0.042609, is_accept = 1
n = 58, r = 1, dH = -0.402962, is_accept = 1
n = 59, r = 1, dH = -0.312658, is_accept = 1
n = 60, r = 0.695795, dH = 0.3627, is_accept = 1
n = 61, r = 7.08533e-25, dH = 55.6066, is_accept = 0
n = 62, r = 1, dH = -0.224916, is_accept = 1
n = 63, r = 0.967444, dH = 0.0330977, is_accept = 1
n = 64, r = 0.828875, dH = 0.187686, is_accept = 1
n = 65, r = 1, dH = -0.134521, is_accept = 1
n = 66, r = 0.745071, dH = 0.294275, is_accept = 1
n = 67, r = 1, dH = -1.34382, is_accept = 1
n = 68, r = 1, dH = -0.123252, is_accept = 1
n = 69, r = 0.916339, dH = 0.0873692, is_accept = 1
n = 70, r = 1, dH = -0.200561, is_accept = 1
n = 71, r = 0.845564, dH = 0.167751, is_accept = 1
n = 72, r = 0.653156, dH = 0.425939, is_accept = 0
n = 73, r = 1, dH = -0.35764, is_accept = 1
n = 74, r = 1, dH = -0.0868002, is_accept = 1
n = 75, r = 0.589006, dH = 0.529318, is_accept = 0
n = 76, r = 1, dH = -0.398745, is_accept = 1
n = 77, r = 0.95361, dH = 0.0475004, is_accept = 1
n = 78, r = 0.000120604, dH = 9.023, is_accept = 0
n = 79, r = 1, dH = -0.0347257, is_accept = 1
n = 80, r = 0.796927, dH = 0.226992, is_accept = 0
n = 81, r = 1, dH = -0.457873, is_accept = 1
n = 82, r = 0.867684, dH = 0.141928, is_accept = 1
n = 83, r = 0.854557, dH = 0.157172, is_accept = 1
n = 84, r = 0.721616, dH = 0.326262, is_accept = 1
n = 85, r = 0.919266, dH = 0.0841802, is_accept = 0
n = 86, r = 1, dH = -0.0558167, is_accept = 1
n = 87, r = 1, dH = -0.139829, is_accept = 1
n = 88, r = 0.646992, dH = 0.435422, is_accept = 1
n = 89, r = 0.896418, dH = 0.109348, is_accept = 1
n = 90, r = 0.0108963, dH = 4.51933, is_accept = 0
n = 91, r = 1, dH = -0.0210608, is_accept = 1
n = 92, r = 0.723334, dH = 0.323885, is_accept = 1
n = 93, r = 1, dH = -0.820295, is_accept = 1
n = 94, r = 1, dH = -0.84437, is_accept = 1
n = 95, r = 0.990965, dH = 0.00907596, is_accept = 1
n = 96, r = 0.0113493, dH = 4.4786, is_accept = 0
n = 97, r = 0.710697, dH = 0.341509, is_accept = 1
n = 98, r = 1, dH = -0.0581186, is_accept = 1
n = 99, r = 0.687756, dH = 0.374321, is_accept = 1
n = 100, r = 0.90742, dH = 0.0971499, is_accept = 1
n = 101, r = 1, dH = -0.333415, is_accept = 1
n = 102, r = 1, dH = -0.272192, is_accept = 1
n = 103, r = 1, dH = -0.227145, is_accept = 1
n = 104, r = 0.913322, dH = 0.0906669, is_accept = 1
n = 105, r = 0.971802, dH = 0.0286029, is_accept = 1
n = 106, r = 0.990505, dH = 0.00954043, is_accept = 1
n = 107, r = 1, dH = -0.0673755, is_accept = 1
n = 108, r = 0.741023, dH = 0.299723, is_accept = 0
n = 109, r = 0.973662, dH = 0.0266908, is_accept = 1
n = 110, r = 0.900594, dH = 0.1047, is_accept = 1
n = 111, r = 0.711707, dH = 0.340089, is_accept = 1
n = 112, r = 1, dH = -0.24163, is_accept = 1
n = 113, r = 1, dH = -0.0444904, is_accept = 1
n = 114, r = 0.163883, dH = 1.8086, is_accept = 1
n = 115, r = 0.761163, dH = 0.272908, is_accept = 0
n = 116, r = 0.72698, dH = 0.318857, is_accept = 0
n = 117, r = 0.995224, dH = 0.0047877, is_accept = 1
n = 118, r = 0.720757, dH = 0.327453, is_accept = 1
n = 119, r = 1, dH = -0.166259, is_accept = 1
n = 120, r = 1, dH = -0.373439, is_accept = 1
n = 121, r = 1, dH = -0.0680997, is_accept = 1
n = 122, r = 1, dH = -0.192402, is_accept = 1
n = 123, r = 3.06969e-07, dH = 14.9965, is_accept = 0
n = 124, r = 0.78148, dH = 0.246565, is_accept = 1
n = 125, r = 0.702356, dH = 0.353315, is_accept = 1
n = 126, r = 0.587014, dH = 0.532706, is_accept = 1
n = 127, r = 0.890067, dH = 0.116459, is_accept = 1
n = 128, r = 1, dH = -0.00223943, is_accept = 1
n = 129, r = 1, dH = -0.192146, is_accept = 1
n = 130, r = 0.966888, dH = 0.0336729, is_accept = 1
n = 131, r = 1, dH = -0.487541, is_accept = 1
n = 132, r = 0.880107, dH = 0.127712, is_accept = 1
n = 133, r = 1, dH = -0.297438, is_accept = 1
n = 134, r = 1, dH = -0.157539, is_accept = 1
n = 135, r = 0.960321, dH = 0.0404878, is_accept = 1
n = 136, r = 1, dH = -0.0882199, is_accept = 1
n = 137, r = 1, dH = -0.552339, is_accept = 1
n = 138, r = 0.0623204, dH = 2.77547, is_accept = 0
n = 139, r = 0.860851, dH = 0.149834, is_accept = 1
n = 140, r = 1, dH = -0.705898, is_accept = 1
n = 141, r = 0.883935, dH = 0.123372, is_accept = 1
n = 142, r = 1, dH = -0.206069, is_accept = 1
n = 143, r = 1, dH = -0.0727858, is_accept = 1
n = 144, r = 1, dH = -0.284963, is_accept = 1
n = 145, r = 0.743757, dH = 0.29604, is_accept = 0
n = 146, r = 0.889835, dH = 0.116719, is_accept = 1
n = 147, r = 0.994063, dH = 0.00595511, is_accept = 1
n = 148, r = 0.955483, dH = 0.0455384, is_accept = 1
n = 149, r = 0.732986, dH = 0.310628, is_accept = 1
n = 150, r = 1, dH = -0.196716, is_accept = 1
n = 151, r = 1, dH = -0.319588, is_accept = 1
n = 152, r = 1, dH = -0.108953, is_accept = 1
n = 153, r = 1, dH = -0.00916905, is_accept = 1
n = 154, r = 0.88398, dH = 0.123321, is_accept = 1
n = 155, r = 0.830997, dH = 0.185129, is_accept = 0
n = 156, r = 0.933893, dH = 0.0683938, is_accept = 1
n = 157, r = 0.00496009, dH = 5.30633, is_accept = 0
n = 158, r = 0.883763, dH = 0.123567, is_accept = 1
n = 159, r = 1, dH = -0.111771, is_accept = 1
n = 160, r = 0.950478, dH = 0.0507902, is_accept = 1
n = 161, r = 0.798943, dH = 0.224465, is_accept = 1
n = 162, r = 1, dH = -0.142928, is_accept = 1
n = 163, r = 0.558417, dH = 0.582649, is_accept = 0
n = 164, r = 0.702407, dH = 0.353242, is_accept = 0
n = 165, r = 1, dH = -0.172203, is_accept = 1
n = 166, r = 1, dH = -0.189178, is_accept = 1
n = 167, r = 0.774353, dH = 0.255728, is_accept = 0
n = 168, r = 0.308243, dH = 1.17687, is_accept = 1
n = 169, r = 0.744892, dH = 0.294516, is_accept = 1
n = 170, r = 1, dH = -0.177807, is_accept = 1
n = 171, r = 1, dH = -0.0889728, is_accept = 1
n = 172, r = 1, dH = -0.231188, is_accept = 1
n = 173, r = 0.809026, dH = 0.211924, is_accept = 1
n = 174, r = 7.93651e-88, dH = 200.556, is_accept = 0
n = 175, r = 1, dH = -0.0348248, is_accept = 1
n = 176, r = 1, dH = -0.255126, is_accept = 1
n = 177, r = 1, dH = -0.0580526, is_accept = 1
n = 178, r = 1, dH = -0.230839, is_accept = 1
n = 179, r = 0.405778, dH = 0.90195, is_accept = 0
n = 180, r = 0.887993, dH = 0.118792, is_accept = 1
n = 181, r = 1, dH = -0.0853049, is_accept = 1
n = 182, r = 0.835159, dH = 0.180133, is_accept = 1
n = 183, r = 1, dH = -0.223968, is_accept = 1
n = 184, r = 1, dH = -0.352139, is_accept = 1
n = 185, r = 2.60325e-13, dH = 28.9768, is_accept = 0
n = 186, r = 1, dH = -0.0263543, is_accept = 1
