openmp threads = 1
eigen threads = 1
seed = 27141
exact = 1.027668950414026e+00
n = 0, r = 0, dH = 1711.69, is_accept = 1
n = 1, r = 0.568481, dH = 0.564787, is_accept = 1
n = 2, r = 7.65486e-06, dH = 11.7802, is_accept = 1
n = 3, r = 0.0182291, dH = 4.00474, is_accept = 1
n = 4, r = 0.485804, dH = 0.721949, is_accept = 1
n = 5, r = 0.604417, dH = 0.503491, is_accept = 1
n = 6, r = 0.666537, dH = 0.405659, is_accept = 1
n = 7, r = 1, dH = -0.117806, is_accept = 1
n = 8, r = 0.902037, dH = 0.1031, is_accept = 1
n = 9, r = 0.896355, dH = 0.109419, is_accept = 1
n = 10, r = 0.701535, dH = 0.354484, is_accept = 1
n = 11, r = 0.868396, dH = 0.141108, is_accept = 1
n = 12, r = 1, dH = -0.00276254, is_accept = 1
n = 13, r = 1, dH = -0.0856751, is_accept = 1
n = 14, r = 0.955487, dH = 0.0455342, is_accept = 1
n = 15, r = 0.344782, dH = 1.06484, is_accept = 1
n = 16, r = 1, dH = -0.0599453, is_accept = 1
n = 17, r = 1, dH = -0.219248, is_accept = 1
n = 18, r = 0.906909, dH = 0.097713, is_accept = 1
n = 19, r = 0.877972, dH = 0.13014, is_accept = 1
n = 20, r = 1, dH = -0.171654, is_accept = 1
n = 21, r = 1, dH = -0.200709, is_accept = 1
n = 22, r = 1, dH = -0.0640992, is_accept = 1
n = 23, r = 0.723079, dH = 0.324236, is_accept = 1
n = 24, r = 1, dH = -0.102371, is_accept = 1
n = 25, r = 0.839756, dH = 0.174644, is_accept = 1
n = 26, r = 0.999292, dH = 0.000707948, is_accept = 1
n = 27, r = 0.727095, dH = 0.318697, is_accept = 1
n = 28, r = 1, dH = -1.33214, is_accept = 1
n = 29, r = 1, dH = -0.325525, is_accept = 1
n = 30, r = 3.74423e-21, dH = 47.0341, is_accept = 0
n = 31, r = 1, dH = -0.0920061, is_accept = 1
n = 32, r = 0.786447, dH = 0.24023, is_accept = 1
n = 33, r = 0.877058, dH = 0.131182, is_accept = 1
n = 34, r = 0.776904, dH = 0.252439, is_accept = 1
n = 35, r = 1, dH = -0.170601, is_accept = 1
n = 36, r = 1, dH = -0.166742, is_accept = 1
n = 37, r = 1, dH = -0.673666, is_accept = 1
n = 38, r = 0.852066, dH = 0.160091, is_accept = 1
n = 39, r = 0.92971, dH = 0.0728827, is_accept = 1
n = 40, r = 1, dH = -0.0882603, is_accept = 1
n = 41, r = 0.793253, dH = 0.231613, is_accept = 1
n = 42, r = 0.90645, dH = 0.098219, is_accept = 1
n = 43, r = 0.928242, dH = 0.0744623, is_accept = 1
n = 44, r = 1, dH = -0.063489, is_accept = 1
n = 45, r = 0.890959, dH = 0.115457, is_accept = 0
n = 46, r = 1, dH = -0.124519, is_accept = 1
n = 47, r = 0.95187, dH = 0.0493271, is_accept = 1
n = 48, r = 1, dH = -0.193768, is_accept = 1
n = 49, r = 0.986808, dH = 0.0132793, is_accept = 1
n = 50, r = 0.851828, dH = 0.160371, is_accept = 1
n = 51, r = 0.00767578, dH = 4.86968, is_accept = 0
n = 52, r = 1, dH = -0.0445739, is_accept = 1
n = 53, r = 0.980676, dH = 0.0195133, is_accept = 1
n = 54, r = 1, dH = -0.00867532, is_accept = 1
n = 55, r = 1, dH = -0.157225, is_accept = 1
n = 56, r = 0.819506, dH = 0.199053, is_accept = 0
n = 57, r = 3.9045e-61, dH = 139.096, is_accept = 0
n = 58, r = 1, dH = -0.0663579, is_accept = 1
n = 59, r = 0.746338, dH = 0.292577, is_accept = 1
n = 60, r = 1, dH = -0.38299, is_accept = 1
n = 61, r = 0.708718, dH = 0.344298, is_accept = 1
n = 62, r = 1, dH = -1.36967, is_accept = 1
n = 63, r = 1, dH = -0.187856, is_accept = 1
n = 64, r = 0.85907, dH = 0.151905, is_accept = 1
n = 65, r = 0.210352, dH = 1.55897, is_accept = 0
n = 66, r = 0.946502, dH = 0.0549824, is_accept = 1
n = 67, r = 1, dH = -0.307163, is_accept = 1
n = 68, r = 0.862808, dH = 0.147563, is_accept = 1
n = 69, r = 0.887419, dH = 0.119438, is_accept = 0
