openmp threads = 1
eigen threads = 1
seed = 30151
exact = 1.101960441795678e+00
n = 0, r = 1.21185e-05, dH = 11.3208, is_accept = 1
n = 1, r = 0.396725, dH = 0.924513, is_accept = 1
n = 2, r = 0.273765, dH = 1.29549, is_accept = 1
n = 3, r = 0.329136, dH = 1.11128, is_accept = 1
n = 4, r = 0.73145, dH = 0.312727, is_accept = 1
n = 5, r = 1, dH = -0.0409599, is_accept = 1
n = 6, r = 0.4445, dH = 0.810806, is_accept = 1
n = 7, r = 0.779569, dH = 0.249014, is_accept = 1
n = 8, r = 0.617763, dH = 0.48165, is_accept = 1
n = 9, r = 1, dH = -0.138993, is_accept = 1
n = 10, r = 0.390013, dH = 0.941574, is_accept = 1
n = 11, r = 0.783934, dH = 0.24343, is_accept = 1
n = 12, r = 1, dH = -0.0332287, is_accept = 1
n = 13, r = 1, dH = -0.0397903, is_accept = 1
n = 14, r = 0.708236, dH = 0.344978, is_accept = 1
n = 15, r = 1, dH = -0.224927, is_accept = 1
n = 16, r = 0.702472, dH = 0.353149, is_accept = 1
n = 17, r = 1, dH = -0.147805, is_accept = 1
n = 18, r = 1, dH = -0.0340938, is_accept = 1
n = 19, r = 0.859263, dH = 0.15168, is_accept = 1
n = 20, r = 0.885679, dH = 0.1214, is_accept = 1
n = 21, r = 1, dH = -0.268804, is_accept = 1
n = 22, r = 1, dH = -0.235209, is_accept = 1
n = 23, r = 0.695909, dH = 0.362536, is_accept = 1
n = 24, r = 1, dH = -0.152213, is_accept = 1
n = 25, r = 3.02546e-18, dH = 40.3395, is_accept = 0
n = 26, r = 0.822855, dH = 0.194975, is_accept = 1
n = 27, r = 1, dH = -0.348074, is_accept = 1
n = 28, r = 0.787038, dH = 0.239478, is_accept = 1
n = 29, r = 1, dH = -0.0875777, is_accept = 1
n = 30, r = 0.623092, dH = 0.473061, is_accept = 1
n = 31, r = 1, dH = -0.0661399, is_accept = 1
n = 32, r = 1, dH = -0.0791401, is_accept = 1
n = 33, r = 0.755546, dH = 0.280315, is_accept = 1
n = 34, r = 1, dH = -0.152225, is_accept = 1
n = 35, r = 0.833397, dH = 0.182245, is_accept = 1
n = 36, r = 0.700382, dH = 0.356129, is_accept = 1
n = 37, r = 0.738167, dH = 0.303586, is_accept = 1
n = 38, r = 1, dH = -0.0441273, is_accept = 1
n = 39, r = 0.757998, dH = 0.277074, is_accept = 1
n = 40, r = 0.945769, dH = 0.0557564, is_accept = 1
n = 41, r = 0.962459, dH = 0.0382634, is_accept = 1
n = 42, r = 1, dH = -0.219463, is_accept = 1
n = 43, r = 0.962414, dH = 0.0383108, is_accept = 1
n = 44, r = 1, dH = -0.116108, is_accept = 1
n = 45, r = 1, dH = -0.0696269, is_accept = 1
n = 46, r = 0.00572322, dH = 5.16322, is_accept = 0
n = 47, r = 1, dH = -2.76692, is_accept = 1
n = 48, r = 1, dH = -0.180403, is_accept = 1
n = 49, r = 0.503462, dH = 0.686247, is_accept = 1
n = 50, r = 0.92175, dH = 0.0814808, is_accept = 1
n = 51, r = 1, dH = -0.056076, is_accept = 1
n = 52, r = 0.956868, dH = 0.0440896, is_accept = 1
n = 53, r = 1, dH = -0.412591, is_accept = 1
n = 54, r = 0.955912, dH = 0.0450893, is_accept = 1
n = 55, r = 0.128137, dH = 2.05466, is_accept = 0
