openmp threads = 1
eigen threads = 1
seed = 5105
exact = 1.197714742754041e+00
n = 0, r = 1, dH = -8.56985, is_accept = 1
n = 1, r = 0.737045, dH = 0.305107, is_accept = 1
n = 2, r = 0.00713421, dH = 4.94285, is_accept = 1
n = 3, r = 0.20493, dH = 1.58509, is_accept = 1
n = 4, r = 0.329837, dH = 1.10916, is_accept = 1
n = 5, r = 0.617629, dH = 0.481867, is_accept = 1
n = 6, r = 0.954863, dH = 0.0461877, is_accept = 1
n = 7, r = 0.796811, dH = 0.227138, is_accept = 1
n = 8, r = 0.180026, dH = 1.71465, is_accept = 1
n = 9, r = 1, dH = -0.0116647, is_accept = 1
n = 10, r = 0.666858, dH = 0.405179, is_accept = 1
n = 11, r = 1, dH = -0.0284754, is_accept = 1
n = 12, r = 0.827232, dH = 0.18967, is_accept = 1
n = 13, r = 0.692293, dH = 0.367745, is_accept = 1
n = 14, r = 1, dH = -0.208292, is_accept = 1
n = 15, r = 0.754358, dH = 0.281889, is_accept = 1
n = 16, r = 1, dH = -0.292709, is_accept = 1
n = 17, r = 0.717241, dH = 0.332343, is_accept = 1
n = 18, r = 0.886127, dH = 0.120895, is_accept = 1
n = 19, r = 3.78612e-08, dH = 17.0893, is_accept = 1
n = 20, r = 0.9672, dH = 0.0333499, is_accept = 1
n = 21, r = 1, dH = -0.276917, is_accept = 1
n = 22, r = 1, dH = -0.443246, is_accept = 1
n = 23, r = 0.828201, dH = 0.188499, is_accept = 0
n = 24, r = 0.692798, dH = 0.367017, is_accept = 1
n = 25, r = 0.486945, dH = 0.719605, is_accept = 1
n = 26, r = 1, dH = -0.0390325, is_accept = 1
n = 27, r = 0.724013, dH = 0.322946, is_accept = 0
n = 28, r = 0.420807, dH = 0.865582, is_accept = 0
n = 29, r = 0.82681, dH = 0.19018, is_accept = 1
n = 30, r = 0.93353, dH = 0.0687822, is_accept = 1
n = 31, r = 0.839076, dH = 0.175454, is_accept = 1
n = 32, r = 1, dH = -0.174286, is_accept = 1
n = 33, r = 0.798275, dH = 0.225302, is_accept = 1
n = 34, r = 1, dH = -0.146483, is_accept = 1
n = 35, r = 0.660536, dH = 0.414704, is_accept = 1
n = 36, r = 1, dH = -0.0232322, is_accept = 1
n = 37, r = 0.801575, dH = 0.221177, is_accept = 1
n = 38, r = 0.984633, dH = 0.0154865, is_accept = 1
n = 39, r = 2.49187e-07, dH = 15.2051, is_accept = 0
n = 40, r = 0.95636, dH = 0.0446204, is_accept = 1
n = 41, r = 1, dH = -0.0653561, is_accept = 1
n = 42, r = 1, dH = -0.000794679, is_accept = 1
n = 43, r = 1, dH = -0.0891335, is_accept = 1
n = 44, r = 0.87535, dH = 0.133131, is_accept = 1
n = 45, r = 1, dH = -0.112573, is_accept = 1
n = 46, r = 0.853432, dH = 0.15849, is_accept = 1
n = 47, r = 1, dH = -0.0774635, is_accept = 1
n = 48, r = 1, dH = -0.104925, is_accept = 1
n = 49, r = 1, dH = -0.0167888, is_accept = 1
n = 50, r = 0.0385975, dH = 3.25457, is_accept = 0
n = 51, r = 0.823289, dH = 0.194448, is_accept = 1
n = 52, r = 1, dH = -0.16552, is_accept = 1
n = 53, r = 1, dH = -0.102814, is_accept = 1
n = 54, r = 0.877348, dH = 0.130852, is_accept = 1
n = 55, r = 0.0102191, dH = 4.58349, is_accept = 0
n = 56, r = 1, dH = -0.759358, is_accept = 1
n = 57, r = 0.968936, dH = 0.031557, is_accept = 1
n = 58, r = 0.000150232, dH = 8.80333, is_accept = 0
n = 59, r = 1, dH = -0.0525263, is_accept = 1
n = 60, r = 0.605188, dH = 0.502217, is_accept = 1
n = 61, r = 1, dH = -0.343358, is_accept = 1
n = 62, r = 0.58684, dH = 0.533003, is_accept = 1
n = 63, r = 0.969393, dH = 0.0310851, is_accept = 1
n = 64, r = 1, dH = -0.0182638, is_accept = 1
n = 65, r = 1, dH = -0.0407873, is_accept = 1
n = 66, r = 1.70686e-05, dH = 10.9783, is_accept = 0
n = 67, r = 1, dH = -0.00756913, is_accept = 1
n = 68, r = 0.561239, dH = 0.577609, is_accept = 1
n = 69, r = 1, dH = -0.0168959, is_accept = 1
n = 70, r = 0.901157, dH = 0.104076, is_accept = 1
n = 71, r = 0.922949, dH = 0.0801816, is_accept = 1
n = 72, r = 1, dH = -0.894833, is_accept = 1
n = 73, r = 1, dH = -0.300061, is_accept = 1
n = 74, r = 1, dH = -0.258498, is_accept = 1
n = 75, r = 1, dH = -0.389088, is_accept = 1
n = 76, r = 0.315869, dH = 1.15243, is_accept = 0
n = 77, r = 0.501854, dH = 0.689447, is_accept = 1
n = 78, r = 0.987663, dH = 0.0124141, is_accept = 1
n = 79, r = 0.938582, dH = 0.0633854, is_accept = 1
n = 80, r = 0.760161, dH = 0.274225, is_accept = 1
n = 81, r = 1, dH = -0.0789147, is_accept = 1
n = 82, r = 0.779149, dH = 0.249553, is_accept = 1
n = 83, r = 0.0110168, dH = 4.50833, is_accept = 0
n = 84, r = 0.777484, dH = 0.251692, is_accept = 1
n = 85, r = 0.778106, dH = 0.250893, is_accept = 1
n = 86, r = 0.916917, dH = 0.0867386, is_accept = 1
n = 87, r = 0.494732, dH = 0.70374, is_accept = 0
n = 88, r = 1, dH = -0.349743, is_accept = 1
n = 89, r = 0.916544, dH = 0.0871449, is_accept = 1
n = 90, r = 1, dH = -0.0713624, is_accept = 1
n = 91, r = 1, dH = -0.0218482, is_accept = 1
n = 92, r = 0.870153, dH = 0.139086, is_accept = 1
n = 93, r = 1, dH = -0.0200536, is_accept = 1
n = 94, r = 0.725119, dH = 0.321419, is_accept = 0
n = 95, r = 0.859553, dH = 0.151342, is_accept = 1
n = 96, r = 0.560774, dH = 0.578437, is_accept = 0
n = 97, r = 1, dH = -0.767103, is_accept = 1
n = 98, r = 1, dH = -0.138075, is_accept = 1
n = 99, r = 0.535183, dH = 0.625147, is_accept = 0
n = 100, r = 0.0220449, dH = 3.81467, is_accept = 1
n = 101, r = 0.917625, dH = 0.0859664, is_accept = 1
n = 102, r = 1, dH = -0.405498, is_accept = 1
n = 103, r = 1, dH = -0.130369, is_accept = 1
n = 104, r = 1, dH = -0.0513581, is_accept = 1
n = 105, r = 1, dH = -0.0591706, is_accept = 1
n = 106, r = 0.239066, dH = 1.43102, is_accept = 0
n = 107, r = 1, dH = -0.12535, is_accept = 1
n = 108, r = 0.90103, dH = 0.104216, is_accept = 1
n = 109, r = 0.882907, dH = 0.124535, is_accept = 1
n = 110, r = 1.91709e-08, dH = 17.7699, is_accept = 0
n = 111, r = 1, dH = -0.147235, is_accept = 1
n = 112, r = 0.643419, dH = 0.44096, is_accept = 0
n = 113, r = 0.982264, dH = 0.0178949, is_accept = 1
n = 114, r = 1, dH = -0.294783, is_accept = 1
n = 115, r = 0.335065, dH = 1.09343, is_accept = 0
n = 116, r = 0.901447, dH = 0.103755, is_accept = 1
n = 117, r = 0.677693, dH = 0.389061, is_accept = 1
n = 118, r = 1, dH = -0.0303736, is_accept = 1
n = 119, r = 0.865929, dH = 0.143952, is_accept = 1
n = 120, r = 0.928873, dH = 0.0737829, is_accept = 1
n = 121, r = 1, dH = -0.514152, is_accept = 1
n = 122, r = 1, dH = -0.278101, is_accept = 1
n = 123, r = 0.760198, dH = 0.274177, is_accept = 1
n = 124, r = 1, dH = -0.646349, is_accept = 1
n = 125, r = 0.440923, dH = 0.818886, is_accept = 0
n = 126, r = 0.722303, dH = 0.325311, is_accept = 1
n = 127, r = 0.63871, dH = 0.448305, is_accept = 0
n = 128, r = 0.946014, dH = 0.0554982, is_accept = 1
n = 129, r = 1, dH = -0.504173, is_accept = 1
n = 130, r = 0.89944, dH = 0.105983, is_accept = 1
n = 131, r = 1, dH = -0.197201, is_accept = 1
n = 132, r = 0.832993, dH = 0.182731, is_accept = 1
n = 133, r = 0.781106, dH = 0.247044, is_accept = 1
n = 134, r = 1, dH = -0.682662, is_accept = 1
n = 135, r = 1, dH = -1.17892, is_accept = 1
n = 136, r = 0.772902, dH = 0.257602, is_accept = 1
n = 137, r = 0.142369, dH = 1.94933, is_accept = 0
n = 138, r = 1, dH = -0.01517, is_accept = 1
n = 139, r = 0.873609, dH = 0.135122, is_accept = 1
n = 140, r = 0.949292, dH = 0.0520386, is_accept = 1
n = 141, r = 1, dH = -0.0712021, is_accept = 1
n = 142, r = 0.909405, dH = 0.0949646, is_accept = 1
n = 143, r = 0.867, dH = 0.142717, is_accept = 1
n = 144, r = 1, dH = -0.188738, is_accept = 1
n = 145, r = 0.697331, dH = 0.360496, is_accept = 1
n = 146, r = 0.361729, dH = 1.01686, is_accept = 0
n = 147, r = 0.91917, dH = 0.0842841, is_accept = 1
n = 148, r = 0.658327, dH = 0.418054, is_accept = 1
n = 149, r = 0.029231, dH = 3.53253, is_accept = 0
n = 150, r = 0.806389, dH = 0.215189, is_accept = 0
n = 151, r = 1, dH = -0.432798, is_accept = 1
n = 152, r = 0.823573, dH = 0.194103, is_accept = 0
n = 153, r = 0.935792, dH = 0.0663618, is_accept = 1
n = 154, r = 0.931705, dH = 0.0707389, is_accept = 1
n = 155, r = 0.0888234, dH = 2.42111, is_accept = 0
n = 156, r = 1, dH = -0.212322, is_accept = 1
n = 157, r = 1, dH = -0.0476647, is_accept = 1
n = 158, r = 0.806317, dH = 0.215278, is_accept = 1
n = 159, r = 0.685147, dH = 0.378122, is_accept = 0
n = 160, r = 1, dH = -0.0171642, is_accept = 1
