openmp threads = 1
eigen threads = 1
seed = 97
exact = 1.216718433734802e+00
n = 0, r = 2.78455e-09, dH = 19.6992, is_accept = 1
n = 1, r = 0.186358, dH = 1.68008, is_accept = 1
n = 2, r = 0.152099, dH = 1.88322, is_accept = 1
n = 3, r = 0.310577, dH = 1.16932, is_accept = 1
n = 4, r = 0.573896, dH = 0.555308, is_accept = 1
n = 5, r = 0.847623, dH = 0.165319, is_accept = 1
n = 6, r = 0.530207, dH = 0.634488, is_accept = 1
n = 7, r = 0.433363, dH = 0.83618, is_accept = 1
n = 8, r = 0.928594, dH = 0.0740841, is_accept = 1
n = 9, r = 0.249294, dH = 1.38912, is_accept = 1
n = 10, r = 1, dH = -0.0316355, is_accept = 1
n = 11, r = 0.673286, dH = 0.395585, is_accept = 1
n = 12, r = 1, dH = -0.019376, is_accept = 1
n = 13, r = 0.792541, dH = 0.232511, is_accept = 1
n = 14, r = 0.805975, dH = 0.215703, is_accept = 1
n = 15, r = 1, dH = -0.146288, is_accept = 1
n = 16, r = 0.0676731, dH = 2.69307, is_accept = 1
n = 17, r = 0.534376, dH = 0.626656, is_accept = 1
n = 18, r = 0.607392, dH = 0.498581, is_accept = 1
n = 19, r = 0.156552, dH = 1.85437, is_accept = 1
n = 20, r = 1, dH = -0.217914, is_accept = 1
n = 21, r = 1, dH = -0.0483566, is_accept = 1
n = 22, r = 0.801796, dH = 0.220901, is_accept = 1
n = 23, r = 1, dH = -0.0154868, is_accept = 1
n = 24, r = 0.993565, dH = 0.00645595, is_accept = 1
n = 25, r = 0.000169866, dH = 8.6805, is_accept = 0
n = 26, r = 0.891402, dH = 0.11496, is_accept = 1
n = 27, r = 0.517353, dH = 0.659031, is_accept = 1
n = 28, r = 0.956579, dH = 0.0443918, is_accept = 1
n = 29, r = 1, dH = -0.117572, is_accept = 1
n = 30, r = 0.348662, dH = 1.05365, is_accept = 0
n = 31, r = 0.425892, dH = 0.853569, is_accept = 1
n = 32, r = 0.790344, dH = 0.235288, is_accept = 1
n = 33, r = 0.698834, dH = 0.358342, is_accept = 1
n = 34, r = 1, dH = -0.0897055, is_accept = 1
n = 35, r = 1, dH = -0.147891, is_accept = 1
n = 36, r = 0.574784, dH = 0.553761, is_accept = 0
n = 37, r = 0.687721, dH = 0.374372, is_accept = 0
n = 38, r = 0.691761, dH = 0.368514, is_accept = 1
n = 39, r = 0.779102, dH = 0.249613, is_accept = 0
