openmp threads = 1
openmp threads = 6
eigen threads = 1
seed = 29046
exact = 7.987447601192592e-01
n = 0, r = 2.08464e-07, dH = 15.3835, is_accept = 1
n = 1, r = 0.0355356, dH = 3.33722, is_accept = 1
n = 2, r = 0.365189, dH = 1.00734, is_accept = 1
n = 3, r = 0.814492, dH = 0.205191, is_accept = 1
n = 4, r = 0.712673, dH = 0.338733, is_accept = 1
n = 5, r = 0.50379, dH = 0.685595, is_accept = 1
n = 6, r = 1, dH = -0.120051, is_accept = 1
n = 7, r = 0.469927, dH = 0.755178, is_accept = 1
n = 8, r = 1, dH = -0.859522, is_accept = 1
n = 9, r = 0.53118, dH = 0.632654, is_accept = 1
n = 10, r = 1, dH = -0.248441, is_accept = 1
n = 11, r = 1, dH = -0.313046, is_accept = 1
n = 12, r = 1, dH = -0.253109, is_accept = 1
n = 13, r = 0.800579, dH = 0.22242, is_accept = 1
n = 14, r = 1, dH = -0.00809993, is_accept = 1
n = 15, r = 1, dH = -0.351357, is_accept = 1
n = 16, r = 0.41712, dH = 0.874382, is_accept = 1
n = 17, r = 0.769182, dH = 0.262427, is_accept = 1
n = 18, r = 1, dH = -0.411693, is_accept = 1
n = 19, r = 0.635858, dH = 0.45278, is_accept = 1
n = 20, r = 0.792607, dH = 0.232427, is_accept = 0
n = 21, r = 1, dH = -0.362027, is_accept = 1
n = 22, r = 1, dH = -0.466048, is_accept = 1
n = 23, r = 0.697738, dH = 0.359912, is_accept = 1
n = 24, r = 1, dH = -0.270657, is_accept = 1
n = 25, r = 0.518532, dH = 0.656754, is_accept = 0
n = 26, r = 0.502715, dH = 0.687733, is_accept = 0
n = 27, r = 0.396081, dH = 0.926137, is_accept = 0
n = 28, r = 0.555214, dH = 0.588402, is_accept = 1
n = 29, r = 0.758747, dH = 0.276087, is_accept = 1
n = 30, r = 1, dH = -0.11195, is_accept = 1
n = 31, r = 0.846961, dH = 0.166101, is_accept = 1
n = 32, r = 1, dH = -1.02463, is_accept = 1
n = 33, r = 0.715262, dH = 0.335106, is_accept = 1
