openmp threads = 1
openmp threads = 6
eigen threads = 1
seed = 30041
exact = 1.269353633414169e+00
n = 0, r = 3.44049e-08, dH = 17.1851, is_accept = 1
n = 1, r = 0.0292035, dH = 3.53347, is_accept = 1
n = 2, r = 0.626475, dH = 0.467647, is_accept = 1
n = 3, r = 0.419084, dH = 0.869683, is_accept = 1
n = 4, r = 0.598372, dH = 0.513542, is_accept = 1
n = 5, r = 1, dH = -0.146565, is_accept = 1
n = 6, r = 1, dH = -0.112982, is_accept = 1
n = 7, r = 1, dH = -0.0319124, is_accept = 1
n = 8, r = 1, dH = -0.294275, is_accept = 1
n = 9, r = 0.613432, dH = 0.488685, is_accept = 1
n = 10, r = 0.807111, dH = 0.214294, is_accept = 1
n = 11, r = 0.794957, dH = 0.229467, is_accept = 1
n = 12, r = 1, dH = -0.673182, is_accept = 1
n = 13, r = 0.411535, dH = 0.887862, is_accept = 1
n = 14, r = 1, dH = -0.484617, is_accept = 1
n = 15, r = 0.963246, dH = 0.0374467, is_accept = 1
n = 16, r = 1, dH = -0.587169, is_accept = 1
n = 17, r = 0.492701, dH = 0.707852, is_accept = 1
n = 18, r = 1, dH = -0.219493, is_accept = 1
n = 19, r = 0.703045, dH = 0.352334, is_accept = 1
n = 20, r = 0.961922, dH = 0.0388217, is_accept = 1
n = 21, r = 1, dH = -0.0645719, is_accept = 1
n = 22, r = 1, dH = -0.0491325, is_accept = 1
n = 23, r = 0.894227, dH = 0.111795, is_accept = 1
n = 24, r = 1, dH = -0.658043, is_accept = 1
n = 25, r = 0.92638, dH = 0.0764708, is_accept = 1
n = 26, r = 0.98175, dH = 0.0184184, is_accept = 1
n = 27, r = 1, dH = -0.753839, is_accept = 1
n = 28, r = 0.345176, dH = 1.0637, is_accept = 1
n = 29, r = 0.426797, dH = 0.851447, is_accept = 0
n = 30, r = 1, dH = -0.338448, is_accept = 1
n = 31, r = 1, dH = -0.575804, is_accept = 1
n = 32, r = 0.598007, dH = 0.514153, is_accept = 1
n = 33, r = 0.828912, dH = 0.187641, is_accept = 1
n = 34, r = 1, dH = -0.08267, is_accept = 1
n = 35, r = 1, dH = -0.50817, is_accept = 1
n = 36, r = 0.295596, dH = 1.21876, is_accept = 0
n = 37, r = 0.345246, dH = 1.0635, is_accept = 1
n = 38, r = 1, dH = -0.224067, is_accept = 1
n = 39, r = 1, dH = -0.015193, is_accept = 1
n = 40, r = 0.943441, dH = 0.0582217, is_accept = 1
n = 41, r = 1, dH = -0.527579, is_accept = 1
n = 42, r = 0.735017, dH = 0.307861, is_accept = 1
n = 43, r = 1, dH = -0.0661595, is_accept = 1
n = 44, r = 0.774502, dH = 0.255535, is_accept = 0
n = 45, r = 0.549759, dH = 0.598276, is_accept = 0
n = 46, r = 0.840828, dH = 0.173368, is_accept = 1
n = 47, r = 0.836871, dH = 0.178085, is_accept = 0
n = 48, r = 0.830354, dH = 0.185903, is_accept = 0
n = 49, r = 0.420196, dH = 0.867034, is_accept = 1
n = 50, r = 1, dH = -0.624592, is_accept = 1
n = 51, r = 1, dH = -0.03407, is_accept = 1
n = 52, r = 0.580506, dH = 0.543854, is_accept = 0
n = 53, r = 0.654732, dH = 0.42353, is_accept = 1
n = 54, r = 0.763101, dH = 0.270365, is_accept = 1
n = 55, r = 1, dH = -0.624188, is_accept = 1
n = 56, r = 0.58007, dH = 0.544607, is_accept = 1
n = 57, r = 0.902149, dH = 0.102975, is_accept = 1
n = 58, r = 1, dH = -0.200715, is_accept = 1
n = 59, r = 1, dH = -0.396755, is_accept = 1
n = 60, r = 0.449417, dH = 0.799805, is_accept = 1
n = 61, r = 0.89848, dH = 0.107051, is_accept = 1
n = 62, r = 0.960545, dH = 0.040255, is_accept = 1
n = 63, r = 1, dH = -0.296499, is_accept = 1
n = 64, r = 0.879767, dH = 0.128099, is_accept = 0
n = 65, r = 0.931274, dH = 0.071202, is_accept = 1
n = 66, r = 1, dH = -0.722219, is_accept = 1
n = 67, r = 0.56771, dH = 0.566144, is_accept = 0
n = 68, r = 0.900763, dH = 0.104514, is_accept = 1
n = 69, r = 0.64273, dH = 0.442031, is_accept = 1
n = 70, r = 1, dH = -0.0667567, is_accept = 1
n = 71, r = 1, dH = -0.496601, is_accept = 1
n = 72, r = 0.461628, dH = 0.772995, is_accept = 0
n = 73, r = 1, dH = -0.0219338, is_accept = 1
n = 74, r = 0.598781, dH = 0.51286, is_accept = 1
n = 75, r = 1, dH = -0.234856, is_accept = 1
n = 76, r = 0.786156, dH = 0.2406, is_accept = 0
