openmp threads = 1
openmp threads = 6
eigen threads = 1
seed = 31405
exact = 1.308679262677227e+00
n = 0, r = 3.31475e-08, dH = 17.2223, is_accept = 1
n = 1, r = 0.0673235, dH = 2.69825, is_accept = 1
n = 2, r = 0.178007, dH = 1.72593, is_accept = 1
n = 3, r = 0.934293, dH = 0.0679649, is_accept = 1
n = 4, r = 0.321302, dH = 1.13537, is_accept = 1
n = 5, r = 1, dH = -0.468799, is_accept = 1
n = 6, r = 0.684072, dH = 0.379692, is_accept = 1
n = 7, r = 1, dH = -0.140032, is_accept = 1
n = 8, r = 0.433707, dH = 0.835385, is_accept = 1
n = 9, r = 0.966081, dH = 0.0345073, is_accept = 1
n = 10, r = 1, dH = -0.0854462, is_accept = 1
n = 11, r = 0.846205, dH = 0.166994, is_accept = 1
n = 12, r = 0.687275, dH = 0.375021, is_accept = 1
n = 13, r = 0.96441, dH = 0.0362388, is_accept = 1
n = 14, r = 0.881127, dH = 0.126554, is_accept = 1
n = 15, r = 1, dH = -0.214517, is_accept = 1
n = 16, r = 0.770283, dH = 0.260997, is_accept = 1
n = 17, r = 0.905066, dH = 0.099747, is_accept = 1
n = 18, r = 0.609262, dH = 0.495507, is_accept = 1
n = 19, r = 1, dH = -0.386779, is_accept = 1
n = 20, r = 1, dH = -0.278175, is_accept = 1
n = 21, r = 0.490231, dH = 0.712878, is_accept = 0
n = 22, r = 0.973768, dH = 0.0265824, is_accept = 1
n = 23, r = 1, dH = -0.350807, is_accept = 1
n = 24, r = 0.617949, dH = 0.481349, is_accept = 1
n = 25, r = 1, dH = -0.729677, is_accept = 1
n = 26, r = 0.690277, dH = 0.370662, is_accept = 1
n = 27, r = 0.770511, dH = 0.260701, is_accept = 1
n = 28, r = 0.838878, dH = 0.17569, is_accept = 1
n = 29, r = 0.900609, dH = 0.104684, is_accept = 1
n = 30, r = 1, dH = -0.528689, is_accept = 1
n = 31, r = 0.741625, dH = 0.298911, is_accept = 1
n = 32, r = 1, dH = -0.00642689, is_accept = 1
n = 33, r = 1, dH = -0.262868, is_accept = 1
n = 34, r = 1, dH = -0.0460895, is_accept = 1
n = 35, r = 1, dH = -0.303422, is_accept = 1
n = 36, r = 0.769603, dH = 0.26188, is_accept = 0
n = 37, r = 1, dH = -0.483912, is_accept = 1
n = 38, r = 0.464088, dH = 0.767682, is_accept = 1
n = 39, r = 0.77411, dH = 0.256041, is_accept = 1
n = 40, r = 0.747462, dH = 0.291072, is_accept = 1
n = 41, r = 0.92504, dH = 0.0779187, is_accept = 1
n = 42, r = 1, dH = -0.354659, is_accept = 1
n = 43, r = 1, dH = -0.3504, is_accept = 1
n = 44, r = 0.610457, dH = 0.493548, is_accept = 0
n = 45, r = 0.634188, dH = 0.45541, is_accept = 1
n = 46, r = 0.898614, dH = 0.106901, is_accept = 0
n = 47, r = 1, dH = -0.685543, is_accept = 1
n = 48, r = 0.787342, dH = 0.239093, is_accept = 1
n = 49, r = 0.713665, dH = 0.337341, is_accept = 1
n = 50, r = 1, dH = -0.450438, is_accept = 1
n = 51, r = 0.845413, dH = 0.16793, is_accept = 1
n = 52, r = 1, dH = -0.078982, is_accept = 1
n = 53, r = 0.585821, dH = 0.534742, is_accept = 1
n = 54, r = 1, dH = -0.623515, is_accept = 1
n = 55, r = 0.982848, dH = 0.0173011, is_accept = 1
n = 56, r = 0.383414, dH = 0.958639, is_accept = 1
n = 57, r = 1, dH = -0.652344, is_accept = 1
n = 58, r = 1, dH = -0.509412, is_accept = 1
n = 59, r = 0.572019, dH = 0.558584, is_accept = 0
n = 60, r = 0.452222, dH = 0.793582, is_accept = 0
n = 61, r = 1, dH = -0.493288, is_accept = 1
n = 62, r = 0.76146, dH = 0.272517, is_accept = 1
n = 63, r = 0.654885, dH = 0.423295, is_accept = 0
n = 64, r = 0.914102, dH = 0.0898126, is_accept = 1
n = 65, r = 0.682741, dH = 0.38164, is_accept = 0
n = 66, r = 1, dH = -0.0960513, is_accept = 1
n = 67, r = 0.505291, dH = 0.68262, is_accept = 0
n = 68, r = 0.980317, dH = 0.0198789, is_accept = 1
n = 69, r = 0.662339, dH = 0.411978, is_accept = 0
n = 70, r = 1, dH = -0.188689, is_accept = 1
n = 71, r = 0.4272, dH = 0.850503, is_accept = 1
n = 72, r = 0.644657, dH = 0.439036, is_accept = 1
n = 73, r = 1, dH = -0.711709, is_accept = 1
n = 74, r = 1, dH = -0.5128, is_accept = 1
n = 75, r = 0.667897, dH = 0.403622, is_accept = 0
n = 76, r = 0.576914, dH = 0.550062, is_accept = 1
n = 77, r = 1, dH = -0.127202, is_accept = 1
n = 78, r = 1, dH = -0.0261781, is_accept = 1
n = 79, r = 1, dH = -0.0762467, is_accept = 1
n = 80, r = 1, dH = -0.643473, is_accept = 1
n = 81, r = 0.791917, dH = 0.233299, is_accept = 1
n = 82, r = 1, dH = -0.0078021, is_accept = 1
n = 83, r = 0.531295, dH = 0.632437, is_accept = 0
n = 84, r = 0.418698, dH = 0.870606, is_accept = 0
n = 85, r = 1, dH = -0.106968, is_accept = 1
n = 86, r = 1, dH = -0.354806, is_accept = 1
n = 87, r = 0.427487, dH = 0.849831, is_accept = 0
n = 88, r = 0.743285, dH = 0.296676, is_accept = 0
n = 89, r = 0.570107, dH = 0.561931, is_accept = 1
n = 90, r = 0.72065, dH = 0.327601, is_accept = 1
n = 91, r = 0.97584, dH = 0.0244563, is_accept = 1
n = 92, r = 1, dH = -0.323665, is_accept = 1
n = 93, r = 1, dH = -0.19751, is_accept = 1
n = 94, r = 0.554933, dH = 0.588909, is_accept = 1
n = 95, r = 0.712008, dH = 0.339666, is_accept = 0
n = 96, r = 1, dH = -0.182062, is_accept = 1
n = 97, r = 0.69801, dH = 0.359523, is_accept = 1
n = 98, r = 0.897002, dH = 0.108698, is_accept = 1
n = 99, r = 0.875866, dH = 0.132542, is_accept = 1
n = 100, r = 0.541111, dH = 0.614131, is_accept = 1
n = 101, r = 1, dH = -1.01461, is_accept = 1
n = 102, r = 0.848487, dH = 0.164301, is_accept = 1
n = 103, r = 1, dH = -0.290223, is_accept = 1
n = 104, r = 1, dH = -0.654815, is_accept = 1
n = 105, r = 1, dH = -0.211875, is_accept = 1
n = 106, r = 0.269982, dH = 1.3094, is_accept = 0
n = 107, r = 0.65671, dH = 0.420512, is_accept = 1
n = 108, r = 0.645809, dH = 0.437252, is_accept = 1
n = 109, r = 1, dH = -0.41241, is_accept = 1
n = 110, r = 0.684247, dH = 0.379437, is_accept = 1
n = 111, r = 1, dH = -0.395555, is_accept = 1
n = 112, r = 1, dH = -0.576657, is_accept = 1
n = 113, r = 1, dH = -0.221921, is_accept = 1
n = 114, r = 0.632342, dH = 0.458325, is_accept = 0
n = 115, r = 1, dH = -0.0652904, is_accept = 1
n = 116, r = 0.410497, dH = 0.890386, is_accept = 0
n = 117, r = 1, dH = -0.229379, is_accept = 1
n = 118, r = 0.781612, dH = 0.246397, is_accept = 0
n = 119, r = 0.623949, dH = 0.471687, is_accept = 1
n = 120, r = 1, dH = -0.666614, is_accept = 1
n = 121, r = 0.232668, dH = 1.45814, is_accept = 0
n = 122, r = 0.969007, dH = 0.0314838, is_accept = 0
n = 123, r = 1, dH = -0.399949, is_accept = 1
n = 124, r = 0.407185, dH = 0.898489, is_accept = 0
n = 125, r = 0.290196, dH = 1.2372, is_accept = 0
n = 126, r = 0.394595, dH = 0.929896, is_accept = 0
n = 127, r = 0.523282, dH = 0.647635, is_accept = 1
n = 128, r = 0.46066, dH = 0.775094, is_accept = 1
n = 129, r = 1, dH = -1.01681, is_accept = 1
n = 130, r = 1, dH = -0.00401788, is_accept = 1
n = 131, r = 0.857752, dH = 0.153441, is_accept = 1
n = 132, r = 0.923322, dH = 0.0797777, is_accept = 1
n = 133, r = 0.4009, dH = 0.914044, is_accept = 0
n = 134, r = 0.535395, dH = 0.62475, is_accept = 1
n = 135, r = 1, dH = -0.135027, is_accept = 1
n = 136, r = 1, dH = -0.155464, is_accept = 1
n = 137, r = 0.664318, dH = 0.408994, is_accept = 1
n = 138, r = 1, dH = -0.765503, is_accept = 1
n = 139, r = 0.523136, dH = 0.647914, is_accept = 0
n = 140, r = 0.754625, dH = 0.281534, is_accept = 1
n = 141, r = 0.83345, dH = 0.182181, is_accept = 1
n = 142, r = 1, dH = -0.664419, is_accept = 1
n = 143, r = 0.775149, dH = 0.2547, is_accept = 1
n = 144, r = 1, dH = -0.12961, is_accept = 1
n = 145, r = 0.727029, dH = 0.318789, is_accept = 1
n = 146, r = 1, dH = -0.45537, is_accept = 1
n = 147, r = 1, dH = -0.520436, is_accept = 1
n = 148, r = 0.658581, dH = 0.417668, is_accept = 1
n = 149, r = 1, dH = -0.22594, is_accept = 1
n = 150, r = 0.901159, dH = 0.104074, is_accept = 0
n = 151, r = 1, dH = -0.699711, is_accept = 1
n = 152, r = 0.827693, dH = 0.189113, is_accept = 1
n = 153, r = 1, dH = -0.0503404, is_accept = 1
n = 154, r = 0.506606, dH = 0.680021, is_accept = 1
n = 155, r = 0.673449, dH = 0.395344, is_accept = 1
n = 156, r = 1, dH = -0.254421, is_accept = 1
n = 157, r = 1, dH = -0.471213, is_accept = 1
n = 158, r = 1, dH = -0.25678, is_accept = 1
n = 159, r = 1, dH = -0.100973, is_accept = 1
n = 160, r = 1, dH = -0.142855, is_accept = 1
n = 161, r = 0.797212, dH = 0.226635, is_accept = 0
n = 162, r = 0.533041, dH = 0.629156, is_accept = 0
n = 163, r = 0.830622, dH = 0.185581, is_accept = 0
n = 164, r = 0.291557, dH = 1.23252, is_accept = 0
n = 165, r = 0.347546, dH = 1.05686, is_accept = 0
n = 166, r = 0.520886, dH = 0.652224, is_accept = 1
n = 167, r = 0.834071, dH = 0.181437, is_accept = 1
n = 168, r = 1, dH = -0.364926, is_accept = 1
n = 169, r = 0.822455, dH = 0.195462, is_accept = 1
n = 170, r = 1, dH = -0.390065, is_accept = 1
n = 171, r = 0.698659, dH = 0.358593, is_accept = 1
n = 172, r = 1, dH = -0.384231, is_accept = 1
n = 173, r = 0.798717, dH = 0.224749, is_accept = 0
n = 174, r = 1, dH = -0.263888, is_accept = 1
n = 175, r = 0.417183, dH = 0.87423, is_accept = 1
n = 176, r = 0.85939, dH = 0.151533, is_accept = 1
n = 177, r = 0.854319, dH = 0.157451, is_accept = 1
n = 178, r = 1, dH = -0.550733, is_accept = 1
n = 179, r = 1, dH = -0.261592, is_accept = 1
n = 180, r = 0.564617, dH = 0.571608, is_accept = 1
n = 181, r = 0.989448, dH = 0.0106086, is_accept = 1
n = 182, r = 0.879536, dH = 0.128361, is_accept = 1
n = 183, r = 0.8804, dH = 0.127379, is_accept = 1
n = 184, r = 1, dH = -0.359609, is_accept = 1
n = 185, r = 1, dH = -0.244616, is_accept = 1
n = 186, r = 1, dH = -0.361421, is_accept = 1
n = 187, r = 1, dH = -0.0160729, is_accept = 1
n = 188, r = 0.915381, dH = 0.0884152, is_accept = 1
n = 189, r = 0.569119, dH = 0.563666, is_accept = 0
n = 190, r = 1, dH = -0.302, is_accept = 1
n = 191, r = 0.883593, dH = 0.123758, is_accept = 1
n = 192, r = 0.689267, dH = 0.372126, is_accept = 1
n = 193, r = 1, dH = -0.238651, is_accept = 1
n = 194, r = 1, dH = -0.387392, is_accept = 1
n = 195, r = 0.899951, dH = 0.105415, is_accept = 1
n = 196, r = 0.608122, dH = 0.49738, is_accept = 1
n = 197, r = 1, dH = -0.47619, is_accept = 1
